"","sim_i","t","out","in"
"1",1,1,794,1
"2",1,1,690,2
"3",1,1,179,3
"4",1,1,636,3
"5",1,1,413,4
"6",1,1,962,4
"7",1,1,1246,4
"8",1,1,1603,4
"9",1,1,1700,4
"10",1,1,1460,5
"11",1,1,1788,5
"12",1,1,1070,6
"13",1,1,1119,8
"14",1,1,1405,8
"15",1,1,1781,9
"16",1,1,378,10
"17",1,1,1944,10
"18",1,1,610,11
"19",1,1,956,12
"20",1,1,153,14
"21",1,1,1092,16
"22",1,1,1502,16
"23",1,1,483,18
"24",1,1,889,18
"25",1,1,1571,18
"26",1,1,1777,18
"27",1,1,1898,19
"28",1,1,159,20
"29",1,1,572,20
"30",1,1,1825,20
"31",1,1,196,21
"32",1,1,299,21
"33",1,1,1364,21
"34",1,1,1773,21
"35",1,1,619,22
"36",1,1,813,22
"37",1,1,906,22
"38",1,1,26,23
"39",1,1,271,23
"40",1,1,419,23
"41",1,1,1580,23
"42",1,1,547,25
"43",1,1,804,25
"44",1,1,965,26
"45",1,1,1324,26
"46",1,1,1649,26
"47",1,1,499,27
"48",1,1,1731,28
"49",1,1,1913,28
"50",1,1,67,29
"51",1,1,895,29
"52",1,1,1503,29
"53",1,1,1618,29
"54",1,1,1749,29
"55",1,1,822,30
"56",1,1,881,32
"57",1,1,1612,32
"58",1,1,1759,32
"59",1,1,1155,34
"60",1,1,1607,34
"61",1,1,1084,36
"62",1,1,1119,36
"63",1,1,1188,36
"64",1,1,1764,36
"65",1,1,270,37
"66",1,1,537,37
"67",1,1,1590,40
"68",1,1,388,41
"69",1,1,580,41
"70",1,1,604,41
"71",1,1,745,41
"72",1,1,1680,41
"73",1,1,154,42
"74",1,1,359,42
"75",1,1,977,42
"76",1,1,1112,42
"77",1,1,1656,43
"78",1,1,1718,43
"79",1,1,168,44
"80",1,1,1490,44
"81",1,1,554,45
"82",1,1,1268,45
"83",1,1,1450,45
"84",1,1,1489,45
"85",1,1,1613,45
"86",1,1,1862,45
"87",1,1,302,46
"88",1,1,461,46
"89",1,1,1840,46
"90",1,1,1930,46
"91",1,1,1323,47
"92",1,1,1530,47
"93",1,1,644,48
"94",1,1,1192,48
"95",1,1,1211,48
"96",1,1,1503,48
"97",1,1,1647,48
"98",1,1,1477,49
"99",1,1,1550,49
"100",1,1,1091,50
"101",1,1,274,51
"102",1,1,593,51
"103",1,1,987,53
"104",1,1,234,54
"105",1,1,1362,54
"106",1,1,1016,56
"107",1,1,1104,56
"108",1,1,874,57
"109",1,1,1175,57
"110",1,1,146,58
"111",1,1,169,58
"112",1,1,1174,58
"113",1,1,1631,59
"114",1,1,1099,60
"115",1,1,1963,61
"116",1,1,876,62
"117",1,1,1214,62
"118",1,1,677,63
"119",1,1,984,63
"120",1,1,1606,63
"121",1,1,1710,65
"122",1,1,1998,65
"123",1,1,183,66
"124",1,1,237,67
"125",1,1,1658,68
"126",1,1,1864,68
"127",1,1,1256,69
"128",1,1,1800,69
"129",1,1,1101,70
"130",1,1,76,71
"131",1,1,272,71
"132",1,1,631,71
"133",1,1,1306,71
"134",1,1,1622,71
"135",1,1,205,72
"136",1,1,604,73
"137",1,1,1015,73
"138",1,1,1422,73
"139",1,1,1537,73
"140",1,1,697,74
"141",1,1,1294,74
"142",1,1,1837,74
"143",1,1,569,75
"144",1,1,932,75
