id,degree,blk,testatus
1,5,0,i
2,7,0,i
3,7,1,i
4,7,1,i
5,8,1,i
6,8,1,i
7,6,0,i
8,2,0,i
9,6,1,i
10,8,1,i
11,9,0,i
12,8,0,i
13,7,1,i
14,10,0,i
15,5,0,i
16,11,1,i
17,8,0,i
18,4,1,i
19,2,1,i
20,7,0,i
21,8,0,i
22,5,0,i
23,5,0,i
24,8,0,i
25,5,1,i
26,5,1,i
27,8,1,i
28,12,0,i
29,7,0,i
30,6,1,i
31,8,1,i
32,11,0,i
33,6,0,i
34,5,1,i
35,4,1,i
36,5,0,s
37,10,0,i
38,5,0,i
39,6,0,i
40,6,0,i
41,10,0,i
42,6,0,i
43,5,1,i
44,7,1,i
45,6,0,i
46,9,0,i
47,10,1,i
48,12,0,i
49,10,0,i
50,5,1,i
51,6,0,i
52,6,1,i
53,3,1,i
54,4,1,i
55,10,1,i
56,8,0,i
57,6,0,i
58,7,0,i
59,5,1,i
60,8,0,i
61,6,0,i
62,12,0,i
63,5,1,i
64,4,0,i
65,9,1,i
66,5,0,i
67,13,1,i
68,10,0,i
69,7,1,i
70,4,0,i
71,4,1,i
72,4,0,i
73,5,0,i
74,12,0,i
75,7,1,i
76,7,0,i
77,3,0,i
78,7,0,i
79,6,0,i
80,5,0,i
81,5,0,i
82,6,1,i
83,4,1,i
84,6,0,i
85,5,1,i
86,7,0,i
87,10,1,i
88,10,0,i
89,9,1,i
90,8,1,i
91,7,0,i
92,4,0,i
93,12,0,i
94,5,1,i
95,7,0,i
96,8,0,i
97,3,0,i
98,4,1,i
99,6,1,i
100,8,1,i
101,7,1,i
102,4,1,i
103,5,0,i
104,7,0,i
105,5,0,i
106,6,1,i
107,7,1,i
108,5,0,i
109,4,1,i
110,6,1,i
111,3,1,i
112,6,0,i
113,6,1,i
114,6,1,i
115,5,1,i
116,9,0,i
117,9,1,i
118,6,0,i
119,6,0,i
120,1,0,i
121,10,0,i
122,4,1,i
123,3,1,i
124,5,1,i
125,9,0,i
126,8,0,i
127,16,0,i
128,4,1,i
129,5,0,i
130,6,1,i
131,4,1,i
132,6,1,i
133,14,1,i
134,6,1,i
135,4,0,i
136,8,1,i
137,3,0,i
138,3,1,i
139,10,1,i
140,5,1,i
141,5,1,i
142,7,1,i
143,12,1,i
144,8,0,i
145,2,1,i
146,6,1,i
147,15,1,i
148,5,0,i
149,6,1,i
150,13,0,i
151,9,0,i
152,8,1,i
153,4,1,i
154,5,0,i
155,1,1,i
156,14,0,i
157,8,0,i
158,7,0,i
159,7,0,i
160,3,1,i
161,4,1,i
162,6,0,i
163,2,1,i
164,7,1,i
165,10,0,i
166,12,0,i
167,9,0,i
168,13,1,i
169,9,0,i
170,7,0,i
171,9,0,i
172,6,0,i
173,4,0,i
174,7,1,i
175,6,1,i
176,9,1,i
177,8,1,i
178,9,1,i
179,4,1,i
180,9,0,i
181,5,1,i
182,3,1,i
183,9,1,i
184,8,0,i
185,4,0,i
186,8,0,i
187,7,1,i
188,8,1,i
189,6,0,i
190,6,0,i
191,6,1,i
192,7,1,i
193,6,0,i
194,8,0,i
195,5,1,i
196,5,0,i
197,9,0,i
198,3,0,i
199,4,1,i
200,6,1,i
201,5,1,i
202,7,0,i
203,4,0,i
204,3,0,i
205,7,1,i
206,8,1,i
207,6,0,i
208,6,0,i
209,6,0,i
210,8,1,i
211,7,1,i
212,5,0,i
213,9,1,i
214,7,0,i
215,9,0,i
216,2,1,i
217,8,0,i
218,5,0,i
219,2,0,i
220,4,1,i
221,1,1,s
222,10,0,i
223,2,0,i
224,5,0,i
225,4,1,i
226,6,0,i
227,8,1,i
228,6,0,i
229,6,1,i
230,5,0,i
231,6,0,i
232,3,1,i
233,5,1,i
234,8,1,i
235,5,0,i
236,7,1,i
237,10,1,i
238,4,1,i
239,5,1,i
240,3,1,i
241,9,1,i
242,6,1,i
243,7,1,i
244,5,1,i
245,4,1,i
246,7,1,i
247,6,0,i
248,4,1,i
249,5,1,i
250,7,1,i
251,10,1,i
252,10,1,i
253,11,0,i
254,6,1,i
255,7,1,i
256,1,1,i
257,8,0,i
258,6,1,i
259,7,1,i
260,4,1,i
261,5,0,i
262,9,1,i
263,8,1,i
264,2,1,i
265,8,0,i
266,7,0,i
267,4,1,i
268,4,1,i
269,11,0,i
270,11,0,i
271,6,0,i
272,11,0,i
273,7,1,i
274,3,1,i
275,3,0,i
276,7,0,i
277,15,1,i
278,11,0,i
279,5,1,i
280,10,0,i
281,4,0,i
282,7,1,i
283,6,0,i
284,5,1,i
285,11,1,i
286,6,0,i
287,3,1,i
288,7,0,i
289,6,1,i
290,7,0,i
291,6,0,i
292,13,0,i
293,9,0,i
294,6,1,i
295,4,0,i
296,6,0,i
297,8,1,i
298,7,0,i
299,6,0,i
300,3,0,i
301,5,0,i
302,8,0,i
303,3,0,i
304,6,0,i
305,3,0,i
306,5,1,i
307,10,1,i
308,5,0,i
309,9,0,i
310,11,0,i
311,6,0,i
312,3,1,i
313,4,1,i
314,3,1,i
315,3,1,i
316,8,0,i
317,11,0,i
318,14,1,i
319,14,0,i
320,5,1,i
321,5,0,i
322,11,0,i
323,7,0,i
324,4,1,i
325,11,0,i
326,9,0,i
327,6,1,i
328,10,1,i
329,10,0,i
330,6,1,i
331,4,0,i
332,5,1,i
333,6,1,i
334,10,1,i
335,10,1,i
336,9,0,i
337,6,0,i
338,2,1,i
339,13,0,i
340,6,0,i
341,4,1,i
342,7,1,i
343,7,0,i
344,5,0,i
345,4,0,i
346,4,1,i
347,11,0,i
348,12,1,i
349,8,1,i
350,1,0,s
351,5,0,i
352,5,1,i
353,5,0,i
354,8,1,i
355,3,0,i
356,7,1,i
357,2,1,i
358,4,1,i
359,10,0,i
360,8,0,i
361,10,0,i
362,5,1,i
363,7,0,i
364,6,1,i
365,8,0,i
366,7,0,i
367,10,1,i
368,6,1,i
369,7,1,i
370,10,0,i
371,9,1,i
372,2,0,i
373,1,0,i
374,9,1,i
375,6,1,i
376,9,1,i
377,3,0,i
378,6,1,i
379,7,0,i
380,11,1,i
381,3,0,i
382,9,1,i
383,7,1,i
384,11,1,i
385,6,1,i
386,4,0,i
387,1,0,s
388,8,0,i
389,4,0,i
390,6,0,i
391,8,0,i
392,8,1,s
393,7,1,i
394,4,1,i
395,6,0,i
396,5,0,i
397,7,0,i
398,6,1,i
399,9,1,i
400,3,0,i
401,10,0,i
402,6,1,i
403,5,0,i
404,6,0,i
405,11,0,i
406,7,0,i
407,5,0,i
408,8,1,i
409,13,1,i
410,6,1,i
411,9,0,i
412,4,1,i
413,6,1,i
414,9,0,i
415,10,0,i
416,5,0,i
417,8,0,i
418,11,1,i
419,9,0,i
420,5,1,i
421,4,1,i
422,6,0,i
423,4,1,i
424,4,0,i
425,6,1,i
426,7,0,i
427,6,1,i
428,10,0,i
429,5,1,i
430,8,0,i
431,8,1,i
432,4,0,i
433,6,1,i
434,7,1,i
435,6,0,i
436,3,0,s
437,7,0,i
438,3,0,i
439,9,1,i
440,7,0,i
441,10,1,i
442,9,0,i
443,6,1,i
444,4,0,i
445,6,0,i
446,7,1,i
447,5,0,i
448,6,1,i
449,8,1,i
450,4,1,i
451,1,0,i
452,7,0,i
453,5,1,i
454,9,0,i
455,7,0,i
456,6,1,i
457,2,1,i
458,5,0,i
