id,degree,blk,testatus
1,9,0,i
2,9,1,i
3,5,1,i
4,4,0,i
5,7,1,i
6,10,1,i
7,8,1,i
8,12,1,i
9,4,0,i
10,2,0,i
11,8,1,i
12,11,1,i
13,6,1,i
14,4,0,i
15,8,1,i
16,7,0,i
17,14,0,i
18,6,0,i
19,4,0,i
20,3,0,i
21,8,0,i
22,10,0,i
23,6,0,i
24,9,1,i
25,6,1,i
26,7,0,i
27,6,1,i
28,9,1,i
29,10,0,i
30,8,0,i
31,3,0,i
32,5,1,i
33,4,0,i
34,7,1,i
35,8,0,i
36,8,0,i
37,2,1,i
38,6,1,i
39,10,1,i
40,4,0,i
41,11,1,i
42,6,1,i
43,8,0,i
44,6,0,i
45,13,1,i
46,6,1,i
47,7,1,i
48,4,0,i
49,3,1,i
50,6,0,i
51,3,0,i
52,7,1,i
53,15,1,i
54,10,0,i
55,9,1,i
56,6,1,i
57,7,0,i
58,12,0,i
59,7,1,i
60,8,1,i
61,7,1,i
62,9,0,i
63,5,1,i
64,5,0,i
65,5,1,i
66,6,1,i
67,10,1,i
68,9,1,i
69,6,0,i
70,4,0,i
71,6,0,i
72,5,0,i
73,9,0,i
74,8,1,i
75,4,1,i
76,4,1,i
77,4,1,i
78,9,0,i
79,6,1,i
80,8,1,i
81,8,0,i
82,6,1,i
83,5,1,i
84,4,1,i
85,5,1,i
86,11,1,i
87,8,0,i
88,5,0,i
89,11,0,i
90,1,1,i
91,6,0,i
92,6,0,i
93,10,1,i
94,14,0,i
95,5,1,i
96,8,1,i
97,7,1,i
98,6,0,i
99,6,1,i
100,11,1,i
101,5,0,i
102,6,1,i
103,7,1,i
104,9,0,i
105,5,0,i
106,6,1,i
107,8,1,i
108,2,1,i
109,9,1,i
110,5,0,i
111,4,1,i
112,7,0,i
113,6,1,i
114,1,0,i
115,3,1,i
116,8,1,i
117,10,0,i
118,6,1,i
119,12,1,i
120,9,0,i
121,5,0,i
122,5,0,i
123,3,0,i
124,3,1,i
125,4,1,i
126,8,0,i
127,5,0,i
128,13,1,i
129,10,0,i
130,9,1,i
131,2,0,i
132,6,1,i
133,7,1,i
134,10,1,i
135,10,0,i
136,7,1,i
137,4,0,i
138,7,1,i
139,8,1,i
140,5,1,i
141,8,0,i
142,5,1,i
143,4,1,i
144,1,1,i
145,6,0,i
146,7,0,i
147,8,1,i
148,3,0,i
149,6,0,i
150,5,1,i
151,7,1,s
152,4,1,i
153,6,1,i
154,5,1,i
155,5,0,i
156,13,0,i
157,6,0,i
158,3,1,i
159,5,1,i
160,4,1,i
161,6,1,i
162,5,1,i
163,8,0,i
164,6,1,i
165,4,1,s
166,3,0,i
167,5,0,i
168,8,0,i
169,6,0,i
170,8,1,i
171,5,1,i
172,10,1,i
173,9,0,i
174,5,1,i
175,5,0,i
176,7,0,i
177,5,1,i
178,8,1,i
179,6,0,i
180,8,1,i
181,9,0,i
182,6,1,i
183,2,1,i
184,11,1,i
185,9,1,i
186,12,1,i
187,4,1,i
188,0,1,i
189,10,1,i
190,7,1,i
191,8,0,i
192,8,1,i
193,3,0,i
194,5,0,i
195,5,1,i
196,2,1,i
197,5,0,i
198,5,0,i
199,4,1,i
200,7,0,i
201,8,0,i
202,7,0,i
203,10,0,i
204,6,1,i
205,9,0,i
206,10,0,i
207,6,1,i
208,10,1,i
209,7,0,i
210,7,0,i
211,4,1,i
212,8,1,i
213,6,1,i
214,6,1,i
215,5,1,i
216,1,1,i
217,7,0,i
218,8,0,i
219,6,1,i
220,5,1,s
221,4,0,i
222,11,1,i
223,6,0,i
224,10,1,i
225,4,1,i
226,4,1,i
227,6,1,i
228,7,0,i
229,7,0,i
230,7,0,i
231,8,1,i
232,6,1,i
233,7,1,i
234,5,1,i
235,7,0,i
236,9,0,i
237,4,1,i
238,5,0,i
239,8,0,i
240,9,1,i
241,7,1,i
242,5,1,i
243,8,0,i
244,6,1,i
245,10,0,i
246,4,1,i
247,3,0,i
248,6,0,i
249,3,0,i
250,7,0,i
251,8,1,i
252,6,0,i
253,4,1,i
254,4,0,i
255,6,1,i
256,3,1,i
257,8,1,i
258,7,0,i
259,8,1,i
260,8,1,i
261,4,0,i
262,8,0,i
263,3,1,i
264,7,1,i
265,8,1,i
266,4,0,i
267,3,0,i
268,8,1,i
269,5,1,i
270,8,1,i
271,13,0,i
272,7,0,i
273,9,0,i
274,8,1,i
275,4,1,i
276,11,1,i
277,10,0,i
278,10,1,i
279,9,0,i
280,5,0,i
281,11,1,i
282,4,1,i
283,3,0,i
284,4,1,i
285,10,0,i
286,5,1,i
287,6,0,i
288,3,1,i
289,3,1,i
290,8,1,i
291,5,0,i
292,5,0,i
293,11,1,i
294,4,1,i
295,2,1,i
296,7,1,i
297,5,1,i
298,10,0,i
299,4,0,i
300,4,1,i
301,8,1,i
302,7,0,i
303,6,0,i
304,5,1,i
305,4,0,i
306,5,1,i
307,4,1,i
308,7,1,i
309,1,0,i
310,3,0,i
311,8,0,i
312,9,0,i
313,9,1,i
314,12,0,i
315,10,1,i
316,6,0,i
317,9,1,i
318,7,0,i
319,5,0,i
320,7,0,i
321,9,0,i
322,8,0,i
323,4,0,i
324,5,0,i
325,8,1,i
326,5,1,i
327,11,0,i
328,10,1,i
329,10,0,i
330,5,0,i
331,7,1,i
332,3,0,i
333,6,1,i
334,11,1,i
335,3,0,i
336,6,0,i
337,7,0,i
338,7,0,i
339,7,1,i
340,12,0,i
341,6,0,i
342,4,0,i
343,6,1,i
344,7,0,i
345,6,1,i
346,2,0,i
347,8,0,i
348,4,1,i
349,4,0,i
350,4,1,i
351,8,0,i
352,7,1,i
353,8,1,i
354,8,0,i
355,4,0,i
356,7,1,i
357,7,1,i
358,5,1,i
359,6,0,i
360,5,0,i
361,10,1,i
362,11,0,i
363,12,0,i
364,6,1,i
365,4,0,i
366,7,0,i
367,7,1,i
368,5,1,i
369,7,1,i
370,6,1,i
371,9,1,i
372,10,0,i
373,8,0,i
374,10,1,i
375,7,1,i
376,5,0,i
377,8,0,i
378,3,1,i
379,6,0,i
380,6,1,i
381,3,0,i
382,9,0,i
383,5,0,i
384,7,0,i
385,16,1,i
386,9,0,i
387,6,1,i
388,20,0,i
389,7,0,i
390,6,1,i
391,11,1,i
392,4,1,i
393,4,0,i
394,7,0,i
395,7,0,i
396,8,1,i
397,7,0,i
398,7,1,i
399,12,1,i
400,5,1,i
401,6,1,i
402,4,1,i
403,5,0,i
404,7,1,i
405,5,0,i
406,8,1,i
407,3,0,i
408,6,0,i
409,9,1,i
410,6,0,i
411,3,1,i
412,3,0,i
413,5,1,i
414,10,0,i
415,3,1,i
416,9,1,i
417,7,1,i
418,8,1,i
419,4,0,i
420,10,0,i
421,11,1,i
422,6,0,i
423,11,1,i
424,6,1,i
425,6,1,i
426,5,1,i
427,6,1,i
428,7,0,i
429,8,1,i
430,5,1,i
431,6,1,i
432,7,0,i
433,3,0,i
434,10,0,i
435,4,0,i
436,8,0,i
437,10,0,i
438,7,1,i
439,7,1,i
440,3,0,i
441,6,1,i
442,9,1,i
443,5,0,i
444,4,1,i
445,8,0,i
446,9,0,i
447,5,1,i
448,5,1,i
449,7,0,i
450,7,1,i
451,11,1,i
452,6,0,i
453,7,0,i
454,6,0,i
455,8,0,i
456,7,1,i
457,6,1,i
458,8,1,i
459,8,0,i
460,6,0,i
461,8,1,i
462,9,1,i
463,5,0,i
464,7,0,i
465,4,1,i
466,5,1,i
467,6,0,i
468,7,1,i
469,7,1,i
470,5,1,i
471,6,1,i
472,6,0,i
473,5,1,i
474,7,1,i
475,10,1,i
476,9,1,i
477,13,0,i
478,9,1,i
479,7,1,s
480,9,0,i
481,9,1,i
482,8,1,i
483,6,0,i
484,6,0,i
485,11,1,i
486,8,0,i
487,8,1,i
488,6,0,i
489,6,0,i
490,13,0,i
491,1,1,i
492,6,1,i
493,7,1,i
494,8,0,i
495,4,0,i
496,7,1,i
497,8,0,i
498,3,0,i
499,7,1,i
500,4,1,i
501,8,0,i
502,4,0,i
503,10,0,i
504,7,1,i
505,10,1,i
506,9,1,i
507,6,1,i
508,7,0,i
509,8,1,i
510,12,1,i
511,10,1,i
512,6,0,i
513,7,0,i
514,3,0,i
515,8,0,i
516,3,0,i
517,1,0,i
518,7,1,i
519,5,0,i
520,11,0,i
521,5,0,i
522,9,1,i
523,9,0,i
524,13,1,i
525,3,0,i
526,8,0,i
527,7,1,i
528,6,0,i
529,7,1,i
530,7,0,i
531,10,0,i
532,9,1,i
533,7,1,i
534,6,0,i
535,6,0,i
536,8,1,i
537,5,1,i
538,6,0,i
539,10,1,i
540,9,0,i
541,8,0,i
542,3,1,i
543,5,1,i
544,10,1,i
545,8,1,i
546,12,1,i
547,6,1,i
548,3,1,i
549,7,0,i
550,6,0,i
551,3,0,i
552,6,1,i
553,8,1,i
554,8,0,i
555,8,1,i
556,3,1,i
557,7,0,i
558,6,0,i
559,9,0,i
560,6,0,i
561,4,0,i
562,6,0,i
563,7,1,i
564,10,1,i
565,5,0,i
566,5,0,i
567,11,1,i
568,6,0,i
569,4,1,i
570,6,1,i
571,4,0,i
572,9,0,i
573,5,0,i
574,9,1,i
575,4,0,i
576,6,1,i
577,3,1,i
578,7,0,i
579,10,0,i
580,7,0,i
581,8,0,i
582,6,0,i
583,12,0,i
584,5,1,i
585,7,1,i
586,7,1,i
587,3,0,i
588,7,1,i
589,7,0,i
590,10,1,i
591,3,0,i
592,5,1,i
593,9,0,i
594,4,0,i
595,5,1,i
596,6,0,i
597,7,0,i
598,4,0,i
599,5,0,i
600,9,1,i
601,5,0,i
602,12,1,i
603,9,1,i
604,6,1,i
605,4,1,i
606,9,1,i
607,7,1,i
608,8,0,i
609,4,1,i
610,11,1,i
611,6,0,i
612,6,0,i
613,3,1,i
614,7,0,i
615,5,0,i
616,7,1,i
617,10,1,i
618,9,0,i
619,5,1,i
620,10,0,i
621,7,1,i
622,3,0,i
623,5,0,i
624,8,0,i
625,6,0,i
626,12,0,i
627,8,1,i
628,8,0,i
629,3,1,i
630,8,1,i
631,6,0,i
632,6,1,i
633,3,1,i
634,3,1,s
635,6,1,i
636,4,1,i
637,5,0,i
638,3,0,i
639,7,1,i
640,12,0,i
641,3,0,i
642,6,1,i
643,7,0,i
644,5,1,i
645,9,0,i
646,3,1,i
647,5,0,i
648,7,0,i
649,6,0,i
650,8,0,i
651,2,0,i
652,6,0,i
653,4,1,i
654,3,0,i
655,5,0,i
656,3,0,i
657,8,1,i
658,8,0,i
659,6,0,i
660,5,1,i
661,4,1,i
662,3,0,i
663,12,0,i
664,11,1,i
665,2,1,s
666,6,0,i
667,9,0,i
668,7,0,i
669,5,1,i
670,10,0,i
671,3,1,i
672,8,0,i
673,5,1,i
674,5,1,i
675,5,0,i
676,10,1,i
677,5,0,i
678,5,1,i
679,7,1,i
680,6,0,i
681,9,1,i
682,6,1,i
683,5,0,i
684,3,1,i
685,7,0,i
686,2,0,i
687,5,1,i
688,5,1,i
689,11,0,i
690,8,1,i
691,2,0,i
692,8,1,i
693,4,1,i
694,8,0,i
695,5,0,i
696,6,1,i
697,6,0,i
698,5,1,i
699,6,0,i
700,9,1,i
701,7,0,i
702,2,0,i
703,7,0,i
704,6,1,i
705,7,1,i
706,6,1,i
707,5,0,i
708,5,1,i
709,6,0,i
710,7,1,i
711,5,1,i
712,7,1,i
713,7,0,i
714,5,0,i
715,6,1,i
716,3,0,i
717,11,0,i
718,8,1,i
719,7,1,i
720,8,0,i
721,9,0,i
722,2,0,i
723,3,1,i
724,3,0,i
725,8,1,i
726,6,1,i
727,8,0,i
728,6,1,i
729,5,0,i
730,3,0,i
731,8,1,i
732,4,1,i
733,9,1,i
734,7,0,i
735,8,1,i
736,11,1,i
737,4,0,i
738,5,0,i
739,8,0,i
740,4,1,i
741,9,1,i
742,5,1,i
743,4,1,i
744,8,1,i
745,6,1,i
746,2,1,s
747,10,0,i
748,8,1,i
749,7,0,i
750,4,1,s
751,7,1,i
752,8,1,i
753,7,0,i
754,9,1,i
755,8,1,i
756,7,0,i
757,9,1,i
758,4,0,i
759,5,1,i
760,8,1,i
761,7,1,i
762,7,1,i
763,4,0,i
764,7,1,i
765,9,1,i
766,9,0,i
767,3,0,i
768,9,0,i
769,6,0,i
770,5,0,i
771,10,1,i
772,6,1,i
773,6,0,i
774,7,0,i
775,7,1,i
776,6,1,i
777,4,0,i
778,5,1,i
779,7,0,i
780,8,0,i
781,2,1,s
782,7,1,i
783,5,0,i
784,5,1,i
785,4,0,i
786,9,1,i
787,8,1,i
788,7,0,i
789,10,0,i
790,5,0,i
791,6,0,i
792,7,1,i
793,6,1,i
794,9,0,i
795,6,1,i
796,3,1,i
797,8,1,i
798,6,0,i
799,6,0,i
800,5,1,i
801,4,0,i
802,8,0,i
803,5,0,i
804,5,1,i
805,6,0,i
806,8,1,i
807,6,0,i
808,8,0,i
809,11,1,i
810,4,1,i
811,9,0,i
812,5,0,i
813,4,1,i
814,8,0,i
815,5,1,i
816,8,0,i
817,10,1,i
818,10,1,i
819,6,0,i
820,5,1,i
821,7,1,i
822,8,1,i
823,5,1,i
824,5,0,i
825,8,0,i
826,4,0,i
827,3,1,s
828,6,0,i
829,6,1,i
830,7,0,i
831,9,0,i
832,2,0,i
833,4,0,i
834,12,1,i
835,9,1,i
836,9,0,i
837,6,0,i
838,11,0,i
839,9,1,i
840,7,1,i
841,6,1,i
842,8,1,i
843,11,1,i
844,6,1,i
845,3,0,i
846,4,0,i
847,5,0,i
848,10,0,i
849,10,1,i
850,7,0,i
851,5,0,i
852,11,0,i
853,6,1,i
854,6,1,i
855,8,0,i
856,8,1,i
857,8,1,i
858,3,1,i
859,7,0,i
860,9,1,i
861,6,1,i
862,8,1,i
863,5,1,i
864,3,0,i
865,5,1,i
866,3,0,i
867,7,0,i
868,8,1,i
869,2,1,i
870,7,1,i
871,10,0,i
872,9,0,i
873,7,1,i
874,5,1,i
875,9,1,i
876,5,1,i
877,2,1,i
878,8,1,i
879,6,0,i
880,6,1,i
881,6,1,i
882,9,0,i
883,2,1,i
884,5,1,i
885,13,0,i
886,7,1,i
887,4,0,i
888,5,1,i
889,5,0,i
890,7,1,i
891,8,1,i
892,2,1,i
893,4,0,i
894,7,1,i
895,5,0,i
896,7,1,i
897,3,0,i
898,9,0,i
899,7,1,i
900,10,1,i
901,4,1,i
902,6,0,i
903,7,0,i
904,6,1,i
905,10,0,i
906,4,1,i
907,5,1,i
908,4,1,i
909,5,0,i
910,3,0,0
911,4,0,0
912,3,0,0
913,5,1,i
914,3,1,i
915,4,1,i
916,2,1,i
917,7,0,i
918,2,1,i
919,2,1,i
920,2,0,i
921,3,1,i
922,6,1,i
923,3,1,i
924,2,0,0
925,3,0,i
926,4,1,i
927,2,1,i
928,3,1,i
929,7,0,i
930,3,0,i
931,3,0,i
932,6,1,i
933,4,1,i
934,1,0,0
935,3,1,i
936,1,0,0
937,2,1,0
938,4,0,i
939,4,0,i
940,2,1,0
941,1,0,0
942,3,1,i
943,2,0,i
944,2,0,0
945,4,0,0
946,2,1,i
947,3,0,i
948,4,0,i
949,2,1,0
950,5,0,i
951,3,1,i
952,3,0,i
953,3,0,i
954,2,1,i
955,2,0,0
956,1,0,0
957,2,1,i
958,0,0,i
959,3,0,i
960,1,1,i
961,2,0,0
962,2,0,i
963,2,0,i
964,2,0,i
965,2,0,i
966,4,0,i
967,6,0,i
968,0,0,0
969,2,0,i
970,1,0,0
971,5,1,i
972,1,1,0
973,1,1,i
974,2,0,0
975,3,0,i
976,1,1,0
977,3,0,i
978,1,1,0
979,0,0,0
980,5,1,i
981,1,0,0
982,2,0,0
983,2,0,0
984,1,0,0
985,0,0,0
986,2,1,i
987,0,1,0
988,0,1,0
989,0,0,0
990,4,1,0
991,1,0,i
992,0,0,0
993,0,0,0
994,0,0,0
995,0,0,0
996,1,0,0
997,1,1,i
998,2,1,i
999,1,0,0
1000,0,0,i
