"","sim_i","t","out","in"
"1",1,1,156,1
"2",1,1,948,1
"3",1,1,1901,1
"4",1,1,66,2
"5",1,1,1756,2
"6",1,1,2288,2
"7",1,1,2415,2
"8",1,1,453,3
"9",1,1,476,3
"10",1,1,1805,3
"11",1,1,2357,3
"12",1,1,62,4
"13",1,1,919,4
"14",1,1,1974,4
"15",1,1,2453,4
"16",1,1,1210,5
"17",1,1,1274,5
"18",1,1,467,6
"19",1,1,515,6
"20",1,1,1411,6
"21",1,1,2119,6
"22",1,1,409,7
"23",1,1,924,7
"24",1,1,1882,7
"25",1,1,123,8
"26",1,1,316,8
"27",1,1,647,9
"28",1,1,2212,9
"29",1,1,303,10
"30",1,1,170,11
"31",1,1,280,11
"32",1,1,409,11
"33",1,1,410,11
"34",1,1,894,11
"35",1,1,1367,11
"36",1,1,304,12
"37",1,1,512,12
"38",1,1,570,12
"39",1,1,580,12
"40",1,1,1296,12
"41",1,1,1550,12
"42",1,1,1928,12
"43",1,1,2078,12
"44",1,1,2360,12
"45",1,1,303,13
"46",1,1,891,13
"47",1,1,1582,13
"48",1,1,148,14
"49",1,1,1218,15
"50",1,1,703,16
"51",1,1,948,16
"52",1,1,1040,16
"53",1,1,1247,16
"54",1,1,1680,16
"55",1,1,1695,16
"56",1,1,2003,16
"57",1,1,316,17
"58",1,1,1563,17
"59",1,1,690,18
"60",1,1,894,18
"61",1,1,1073,18
"62",1,1,1301,18
"63",1,1,1959,18
"64",1,1,2186,18
"65",1,1,832,19
"66",1,1,995,19
"67",1,1,1010,19
"68",1,1,1110,19
"69",1,1,1300,19
"70",1,1,1402,19
"71",1,1,1501,19
"72",1,1,1694,19
"73",1,1,1796,19
"74",1,1,2149,19
"75",1,1,2398,19
"76",1,1,372,20
"77",1,1,1778,20
"78",1,1,286,21
"79",1,1,712,21
"80",1,1,871,21
"81",1,1,1262,21
"82",1,1,2015,21
"83",1,1,2404,21
"84",1,1,157,22
"85",1,1,316,22
"86",1,1,671,22
"87",1,1,1359,22
"88",1,1,2049,22
"89",1,1,431,23
"90",1,1,1767,23
"91",1,1,1884,23
"92",1,1,403,24
"93",1,1,500,24
"94",1,1,786,24
"95",1,1,829,24
"96",1,1,1243,24
"97",1,1,1872,24
"98",1,1,595,25
"99",1,1,2349,25
"100",1,1,2352,25
"101",1,1,2495,25
"102",1,1,1679,26
"103",1,1,1706,26
"104",1,1,909,27
"105",1,1,1158,27
"106",1,1,1645,27
"107",1,1,1906,27
"108",1,1,1965,27
"109",1,1,1885,28
"110",1,1,441,29
"111",1,1,1087,29
"112",1,1,1287,29
"113",1,1,980,30
"114",1,1,2163,30
"115",1,1,874,31
"116",1,1,1117,31
"117",1,1,1703,31
"118",1,1,1856,31
"119",1,1,2205,31
"120",1,1,167,32
"121",1,1,243,32
"122",1,1,741,32
"123",1,1,1079,32
"124",1,1,1974,32
"125",1,1,222,33
"126",1,1,958,33
"127",1,1,1600,33
"128",1,1,1619,33
"129",1,1,1925,33
"130",1,1,56,34
"131",1,1,81,34
"132",1,1,149,34
"133",1,1,576,34
"134",1,1,1417,34
"135",1,1,1590,34
"136",1,1,2163,34
"137",1,1,724,35
"138",1,1,1156,35
"139",1,1,1691,35
"140",1,1,1703,35
"141",1,1,39,36
"142",1,1,71,36
"143",1,1,543,36
"144",1,1,743,37
"145",1,1,50,38
"146",1,1,463,38
"147",1,1,2354,38
"148",1,1,55,39
"149",1,1,483,39
"150",1,1,538,39
"151",1,1,1424,39
"152",1,1,1606,39
"153",1,1,2044,39
"154",1,1,2454,39
"155",1,1,603,40
"156",1,1,1465,40
"157",1,1,2089,40
"158",1,1,1434,41
"159",1,1,885,42
"160",1,1,1267,42
"161",1,1,169,43
"162",1,1,468,43
"163",1,1,717,43
"164",1,1,839,43
"165",1,1,400,44
"166",1,1,643,44
"167",1,1,1170,44
"168",1,1,1228,44
"169",1,1,1249,44
"170",1,1,1391,44
"171",1,1,1769,44
"172",1,1,1822,44
"173",1,1,2089,44
"174",1,1,463,45
"175",1,1,1652,45
"176",1,1,247,46
"177",1,1,1057,46
"178",1,1,1150,46
"179",1,1,1614,46
"180",1,1,261,47
"181",1,1,1068,47
"182",1,1,1329,47
"183",1,1,1230,48
"184",1,1,1265,48
"185",1,1,2249,48
"186",1,1,189,49
"187",1,1,381,49
"188",1,1,401,49
"189",1,1,467,49
"190",1,1,1853,49
"191",1,1,2404,49
"192",1,1,528,50
"193",1,1,1090,50
"194",1,1,1245,50
"195",1,1,2319,50
"196",1,1,61,51
"197",1,1,425,51
"198",1,1,880,51
"199",1,1,1966,51
"200",1,1,2327,51
"201",1,1,799,52
"202",1,1,1383,52
"203",1,1,2323,52
"204",1,1,422,53
"205",1,1,633,53
"206",1,1,830,53
"207",1,1,249,54
"208",1,1,992,54
"209",1,1,1365,54
"210",1,1,1821,54
"211",1,1,2328,54
"212",1,1,336,55
"213",1,1,487,55
"214",1,1,1734,55
"215",1,1,1182,56
"216",1,1,935,57
"217",1,1,991,57
"218",1,1,1754,57
"219",1,1,2017,57
"220",1,1,749,58
"221",1,1,1220,58
"222",1,1,631,59
"223",1,1,2316,59
"224",1,1,2329,59
"225",1,1,194,60
"226",1,1,926,60
"227",1,1,2200,60
"228",1,1,153,61
"229",1,1,286,61
"230",1,1,345,61
"231",1,1,737,61
"232",1,1,1094,61
"233",1,1,1816,61
"234",1,1,1188,62
"235",1,1,1919,62
"236",1,1,2145,62
"237",1,1,2159,62
"238",1,1,2305,62
"239",1,1,64,63
"240",1,1,509,63
"241",1,1,820,63
"242",1,1,1376,63
"243",1,1,1413,63
"244",1,1,1851,63
"245",1,1,326,64
"246",1,1,353,64
"247",1,1,490,64
"248",1,1,2321,64
"249",1,1,367,65
"250",1,1,1237,65
"251",1,1,2137,65
"252",1,1,1302,66
"253",1,1,1544,66
"254",1,1,2265,66
"255",1,1,461,67
"256",1,1,494,67
"257",1,1,670,67
"258",1,1,768,67
"259",1,1,769,67
"260",1,1,2294,67
"261",1,1,664,68
"262",1,1,719,68
"263",1,1,707,69
"264",1,1,1183,69
"265",1,1,520,70
"266",1,1,531,70
"267",1,1,860,70
"268",1,1,392,71
"269",1,1,1277,71
"270",1,1,1448,71
"271",1,1,2328,71
"272",1,1,867,72
"273",1,1,1457,72
"274",1,1,166,73
"275",1,1,216,73
"276",1,1,1126,73
"277",1,1,1171,73
"278",1,1,1628,73
"279",1,1,1638,73
"280",1,1,1973,73
"281",1,1,1987,73
"282",1,1,1004,74
"283",1,1,191,75
"284",1,1,1485,75
"285",1,1,2343,75
"286",1,1,2376,75
"287",1,1,350,76
"288",1,1,780,76
"289",1,1,1001,76
"290",1,1,1974,76
"291",1,1,189,77
"292",1,1,330,77
"293",1,1,731,77
"294",1,1,1975,77
"295",1,1,2308,77
"296",1,1,2393,77
"297",1,1,1070,78
"298",1,1,438,79
"299",1,1,471,79
"300",1,1,574,79
"301",1,1,1614,79
"302",1,1,2374,79
"303",1,1,2500,79
"304",1,1,671,80
"305",1,1,676,80
"306",1,1,1621,81
"307",1,1,1656,81
"308",1,1,1986,81
"309",1,1,173,82
"310",1,1,223,82
"311",1,1,457,82
"312",1,1,1326,82
"313",1,1,1757,82
"314",1,1,1903,82
"315",1,1,1544,83
"316",1,1,312,84
"317",1,1,820,84
"318",1,1,868,84
"319",1,1,1170,84
"320",1,1,1742,84
"321",1,1,2276,84
"322",1,1,1345,85
"323",1,1,1957,85
"324",1,1,2267,86
"325",1,1,2472,86
"326",1,1,173,87
"327",1,1,1714,87
"328",1,1,2359,87
"329",1,1,480,88
"330",1,1,1762,88
"331",1,1,1972,88
"332",1,1,2241,88
"333",1,1,681,90
"334",1,1,1932,90
"335",1,1,453,91
"336",1,1,577,91
"337",1,1,140,92
"338",1,1,247,92
"339",1,1,2391,92
"340",1,1,2488,92
"341",1,1,145,93
"342",1,1,620,93
"343",1,1,992,93
"344",1,1,1026,93
"345",1,1,1529,93
"346",1,1,161,94
"347",1,1,634,94
"348",1,1,1629,94
"349",1,1,2064,94
