"","sim_i","t","out","in"
"1",1,1,1252,1
"2",1,1,1310,1
"3",1,1,2178,1
"4",1,1,1834,2
"5",1,1,1866,2
"6",1,1,2046,2
"7",1,1,2322,2
"8",1,1,2723,2
"9",1,1,2837,2
"10",1,1,620,3
"11",1,1,910,3
"12",1,1,1183,3
"13",1,1,2832,3
"14",1,1,1008,4
"15",1,1,1197,4
"16",1,1,1229,4
"17",1,1,1754,4
"18",1,1,2549,4
"19",1,1,318,5
"20",1,1,938,5
"21",1,1,1111,5
"22",1,1,1318,5
"23",1,1,1363,5
"24",1,1,2416,5
"25",1,1,841,6
"26",1,1,1423,6
"27",1,1,1646,6
"28",1,1,312,7
"29",1,1,408,7
"30",1,1,688,7
"31",1,1,1990,7
"32",1,1,2643,7
"33",1,1,2884,7
"34",1,1,2973,7
"35",1,1,579,8
"36",1,1,677,8
"37",1,1,905,8
"38",1,1,941,8
"39",1,1,1012,8
"40",1,1,1756,8
"41",1,1,1893,8
"42",1,1,123,9
"43",1,1,2229,9
"44",1,1,2458,9
"45",1,1,2487,9
"46",1,1,2724,9
"47",1,1,870,10
"48",1,1,1103,10
"49",1,1,2438,10
"50",1,1,2610,10
"51",1,1,2786,10
"52",1,1,29,11
"53",1,1,493,11
"54",1,1,664,11
"55",1,1,786,11
"56",1,1,1850,11
"57",1,1,2261,11
"58",1,1,134,12
"59",1,1,1624,12
"60",1,1,1663,12
"61",1,1,1769,12
"62",1,1,2476,12
"63",1,1,2871,12
"64",1,1,1094,13
"65",1,1,1531,13
"66",1,1,1654,13
"67",1,1,1673,13
"68",1,1,2033,13
"69",1,1,2101,13
"70",1,1,2747,13
"71",1,1,2802,13
"72",1,1,2911,13
"73",1,1,322,14
"74",1,1,343,14
"75",1,1,905,14
"76",1,1,960,14
"77",1,1,1473,14
"78",1,1,1614,14
"79",1,1,2290,14
"80",1,1,2441,14
"81",1,1,2873,14
"82",1,1,427,15
"83",1,1,481,15
"84",1,1,607,15
"85",1,1,1330,15
"86",1,1,1840,15
"87",1,1,2556,15
"88",1,1,2662,15
"89",1,1,2751,15
"90",1,1,2800,15
"91",1,1,127,16
"92",1,1,565,16
"93",1,1,613,16
"94",1,1,618,16
"95",1,1,926,16
"96",1,1,1113,16
"97",1,1,1239,16
"98",1,1,1638,16
"99",1,1,2359,16
"100",1,1,119,17
"101",1,1,314,17
"102",1,1,560,17
"103",1,1,768,17
"104",1,1,1403,17
"105",1,1,1721,17
"106",1,1,1831,17
"107",1,1,278,18
"108",1,1,1635,18
"109",1,1,1790,18
"110",1,1,2168,18
"111",1,1,2799,18
"112",1,1,553,19
"113",1,1,709,19
"114",1,1,1742,19
"115",1,1,2841,19
"116",1,1,2881,19
"117",1,1,269,20
"118",1,1,600,20
"119",1,1,661,20
"120",1,1,2791,20
"121",1,1,2996,20
"122",1,1,429,21
"123",1,1,813,21
"124",1,1,1324,21
"125",1,1,1655,21
"126",1,1,2107,21
"127",1,1,2219,21
"128",1,1,2817,21
"129",1,1,383,22
"130",1,1,619,22
"131",1,1,1031,22
"132",1,1,1749,22
"133",1,1,1766,22
"134",1,1,2021,22
"135",1,1,2143,22
"136",1,1,2598,22
"137",1,1,2778,22
"138",1,1,102,23
"139",1,1,260,23
"140",1,1,958,23
"141",1,1,1082,23
"142",1,1,2194,23
"143",1,1,269,24
"144",1,1,513,24
"145",1,1,1015,24
"146",1,1,1055,24
"147",1,1,1258,24
"148",1,1,1526,24
"149",1,1,1738,24
"150",1,1,1760,24
"151",1,1,1990,24
"152",1,1,2175,24
"153",1,1,869,25
"154",1,1,1594,25
"155",1,1,1724,25
"156",1,1,1921,25
"157",1,1,586,26
"158",1,1,773,26
"159",1,1,1278,26
"160",1,1,1508,26
"161",1,1,69,27
"162",1,1,2296,27
"163",1,1,2520,27
"164",1,1,2668,27
"165",1,1,2749,27
"166",1,1,2937,27
"167",1,1,64,28
"168",1,1,326,28
"169",1,1,2074,28
"170",1,1,2200,28
"171",1,1,92,29
"172",1,1,164,29
"173",1,1,765,29
"174",1,1,806,29
"175",1,1,835,29
"176",1,1,1824,29
"177",1,1,1913,29
"178",1,1,2423,29
"179",1,1,260,30
"180",1,1,269,30
"181",1,1,541,30
"182",1,1,1220,30
"183",1,1,1327,30
"184",1,1,1774,30
"185",1,1,2324,30
"186",1,1,639,31
"187",1,1,1122,31
"188",1,1,1538,31
"189",1,1,1643,31
"190",1,1,2022,31
"191",1,1,2223,31
"192",1,1,2361,31
"193",1,1,2613,31
"194",1,1,2630,31
"195",1,1,2858,31
"196",1,1,2981,31
"197",1,1,356,32
"198",1,1,788,32
"199",1,1,1545,32
"200",1,1,1815,32
"201",1,1,2056,32
"202",1,1,2862,32
"203",1,1,2963,32
"204",1,1,825,33
"205",1,1,1403,33
"206",1,1,1479,33
"207",1,1,1766,33
"208",1,1,2012,33
"209",1,1,635,34
"210",1,1,1039,34
"211",1,1,1581,34
