id,degree,blk,testatus
1,6,1,s
2,6,0,s
3,3,0,s
4,9,0,s
5,7,0,s
6,3,1,s
7,6,0,s
8,6,1,s
9,7,1,s
10,4,0,s
11,5,1,s
12,5,0,s
13,6,0,s
14,5,0,s
15,6,0,s
16,7,0,i
17,8,0,i
18,6,1,s
19,1,1,i
20,3,0,s
21,12,1,s
22,9,0,s
23,7,0,s
24,6,0,s
25,4,0,s
26,8,0,i
27,4,1,s
28,7,1,s
29,7,1,i
30,3,0,s
31,10,1,s
32,2,0,s
33,3,0,s
34,13,0,s
35,5,1,s
36,7,0,s
37,6,0,s
38,6,1,s
39,3,0,s
40,3,1,s
41,2,0,s
42,8,0,s
43,9,0,s
44,8,1,s
45,5,1,s
46,6,0,s
47,8,0,s
48,2,0,s
49,7,0,s
50,10,0,i
51,6,0,s
52,5,1,s
53,6,1,s
54,5,0,s
55,4,1,i
56,6,1,s
57,7,0,s
58,7,0,s
59,7,1,s
60,8,1,s
61,7,0,i
62,5,1,s
63,3,1,s
64,7,1,s
65,5,0,s
66,4,1,s
67,5,1,s
68,6,1,i
69,11,1,i
70,8,1,s
71,9,1,s
72,5,1,s
73,7,0,s
74,10,0,s
75,9,1,i
76,6,1,s
77,5,0,s
78,6,0,i
79,3,0,s
80,11,0,i
81,6,1,s
82,6,0,s
83,10,0,s
84,5,0,s
85,6,0,s
86,2,1,s
87,16,1,s
88,7,1,i
89,6,0,i
90,12,1,i
91,3,0,s
92,8,1,s
93,6,1,s
94,7,1,s
95,5,1,i
96,6,0,s
97,6,0,s
98,1,0,s
99,6,1,s
100,4,1,s
101,6,0,s
102,2,0,s
103,1,0,s
104,10,0,s
105,3,0,s
106,7,1,s
107,9,0,s
108,5,0,s
109,5,0,s
110,5,1,s
111,5,1,i
112,6,1,s
113,9,0,s
114,8,1,s
115,1,1,s
116,5,0,s
117,7,1,s
118,7,1,s
119,6,1,s
120,3,1,s
121,11,1,i
122,8,0,i
123,10,1,s
124,11,1,s
125,11,0,s
126,6,1,s
127,9,0,s
128,6,1,s
129,6,0,i
130,7,0,i
131,1,1,s
132,3,0,s
133,8,0,s
134,7,0,s
135,8,1,s
136,5,0,s
137,6,0,s
138,6,1,s
139,5,1,s
140,8,1,s
141,4,1,s
142,4,1,s
143,3,1,s
144,10,1,s
145,6,1,s
146,10,0,s
147,2,0,s
148,5,0,s
149,3,0,s
150,11,0,s
151,7,0,i
152,3,1,s
153,10,0,s
154,8,0,s
155,6,0,s
156,6,0,i
157,7,0,s
158,2,1,s
159,8,1,s
160,8,1,s
161,8,0,i
162,3,0,s
163,7,0,s
164,14,0,i
165,5,1,s
166,9,1,s
167,11,0,s
168,2,1,i
169,4,1,s
170,5,0,s
171,7,1,s
172,9,1,s
173,6,0,s
174,2,1,s
175,5,0,s
176,9,1,s
177,4,1,s
178,7,0,s
179,8,0,s
180,5,0,s
181,5,0,s
182,9,0,s
183,4,0,s
184,7,0,s
185,9,1,s
186,9,0,s
187,4,1,s
188,6,1,s
189,8,1,s
190,5,0,s
191,2,1,i
192,7,0,s
193,11,0,s
194,5,1,s
195,3,0,s
196,8,0,s
197,10,1,s
198,8,0,s
199,6,1,s
200,9,0,s
201,10,1,s
202,4,1,s
203,3,1,s
204,3,0,s
205,6,0,i
206,3,0,i
207,10,1,s
208,6,0,s
209,10,0,s
210,10,0,s
211,5,1,i
212,5,0,s
213,6,0,s
214,3,1,i
215,3,0,s
216,5,1,i
217,12,0,i
218,6,1,s
219,3,1,i
220,7,0,s
221,6,0,s
222,4,0,s
223,11,1,s
224,7,0,s
225,1,0,s
226,3,0,s
227,4,1,s
228,4,0,s
229,6,1,s
230,9,1,i
231,6,0,s
232,10,0,s
233,7,0,s
234,3,1,s
235,6,0,i
236,8,1,s
237,4,0,s
238,7,1,s
239,6,1,s
240,4,1,s
241,11,0,i
242,5,1,i
243,7,0,s
244,5,1,i
245,3,0,s
246,7,0,s
247,5,1,s
248,7,1,s
249,9,0,s
250,3,1,s
251,6,1,s
252,8,0,i
253,6,0,s
254,11,0,i
255,6,1,s
256,5,1,s
257,7,1,i
258,9,0,s
259,10,1,s
260,10,0,s
261,6,1,i
262,5,1,s
263,3,0,s
264,4,1,s
265,5,1,s
266,6,1,s
267,7,1,s
268,10,0,s
269,2,0,s
270,6,1,s
271,8,0,i
272,8,0,s
273,5,0,i
274,7,1,i
275,7,0,s
276,5,1,s
277,4,1,i
278,6,1,s
279,0,1,s
280,5,1,s
281,11,0,s
282,8,1,s
283,4,0,s
284,7,0,i
285,2,1,s
286,4,0,i
287,5,1,s
288,8,1,s
289,6,1,s
290,4,1,s
291,7,1,s
292,4,0,s
293,5,0,s
294,1,1,s
295,4,0,s
296,4,0,s
297,4,1,s
298,3,0,s
299,6,0,s
300,3,0,s
301,8,1,s
302,1,0,s
303,5,1,s
304,8,0,s
305,8,1,s
306,8,1,s
307,7,1,s
308,9,0,s
309,2,0,s
310,11,1,i
311,7,0,i
312,5,0,s
313,4,0,s
314,5,1,s
315,8,1,i
316,1,1,s
317,4,1,s
318,2,1,s
319,6,1,s
320,4,0,s
321,10,1,i
322,10,0,s
323,3,1,s
324,7,0,s
325,7,1,s
326,9,0,s
327,4,1,s
328,5,1,s
329,4,0,s
330,2,0,s
331,6,0,s
332,9,0,s
333,9,1,s
334,8,1,s
335,6,1,s
336,6,0,s
337,5,1,s
338,5,1,i
339,4,0,s
340,3,0,s
341,4,0,s
342,7,1,s
343,5,0,s
344,5,1,s
345,8,1,s
346,7,0,s
347,6,0,i
348,4,0,s
349,2,0,s
350,5,0,s
351,9,0,i
352,10,0,s
353,5,0,s
354,13,0,s
355,7,1,s
356,5,1,s
357,7,0,s
358,7,1,s
359,6,0,s
360,3,1,s
361,4,1,s
362,7,1,s
363,6,0,s
364,8,0,s
365,13,0,s
366,2,1,s
367,10,1,i
368,7,0,i
369,6,0,s
370,5,1,s
371,6,1,s
372,5,1,s
373,10,1,s
374,6,0,s
375,7,0,s
376,4,1,s
377,7,1,s
378,5,0,s
379,8,0,s
380,8,0,s
381,5,1,s
382,4,0,s
383,7,1,s
384,5,1,s
385,5,1,s
386,7,1,s
387,7,0,i
388,10,0,s
389,9,0,i
390,8,0,s
391,3,1,s
392,5,1,s
393,6,0,s
394,4,0,s
395,7,1,i
396,10,0,i
397,6,1,s
398,7,0,s
399,5,0,s
400,1,0,s
401,5,0,s
402,4,0,s
403,7,0,s
404,3,1,s
405,8,0,i
406,4,0,s
407,4,1,s
408,9,1,s
409,7,1,s
410,11,1,s
411,4,1,s
412,3,1,s
