,sim_i,t,source,target
27588,1,19,2463,1
27589,1,19,2755,2
27590,1,19,2728,6
27591,1,19,1483,7
27592,1,19,1538,7
27593,1,19,2582,7
27594,1,19,2678,7
27595,1,19,491,8
27596,1,19,2478,8
27597,1,19,470,9
27598,1,19,1232,10
27599,1,19,1982,11
27600,1,19,1208,12
27601,1,19,1632,13
27602,1,19,2844,13
27603,1,19,603,14
27604,1,19,1796,14
27605,1,19,2566,14
27606,1,19,874,15
27607,1,19,2859,15
27608,1,19,102,17
27609,1,19,353,18
27610,1,19,1241,21
27611,1,19,809,22
27612,1,19,2044,24
27613,1,19,515,25
27614,1,19,1594,27
27615,1,19,2364,27
27616,1,19,488,28
27617,1,19,2751,28
27618,1,19,656,29
27619,1,19,2917,29
27620,1,19,2760,30
27621,1,19,1113,31
27622,1,19,1253,31
27623,1,19,2584,32
27624,1,19,2756,32
27625,1,19,1554,33
27626,1,19,1652,35
27627,1,19,1539,36
27628,1,19,87,37
27629,1,19,100,37
27630,1,19,875,37
27631,1,19,1678,37
27632,1,19,2559,39
27633,1,19,1545,40
27634,1,19,1473,43
27635,1,19,1676,43
27636,1,19,1314,45
27637,1,19,2086,45
27638,1,19,999,48
27639,1,19,1541,49
27640,1,19,504,50
27641,1,19,557,50
27642,1,19,1784,50
27643,1,19,147,51
27644,1,19,1354,51
27645,1,19,2792,51
27646,1,19,2842,51
27647,1,19,279,52
27648,1,19,2405,53
27649,1,19,483,54
27650,1,19,2906,54
27651,1,19,530,55
27652,1,19,927,56
27653,1,19,66,57
27654,1,19,611,59
27655,1,19,1340,60
27656,1,19,2678,60
27657,1,19,1532,62
27658,1,19,1685,62
27659,1,19,1414,63
27660,1,19,1689,63
27661,1,19,599,64
27662,1,19,2998,64
27663,1,19,128,67
27664,1,19,874,68
27665,1,19,1083,70
27666,1,19,2282,70
27667,1,19,2459,70
27668,1,19,1071,71
27669,1,19,1585,71
27670,1,19,2258,71
27671,1,19,2646,72
27672,1,19,1606,73
27673,1,19,394,74
27674,1,19,887,74
27675,1,19,1030,74
27676,1,19,1832,74
27677,1,19,2649,74
27678,1,19,1291,75
27679,1,19,1373,75
27680,1,19,2363,76
27681,1,19,1477,77
27682,1,19,2751,77
27683,1,19,640,79
27684,1,19,190,80
27685,1,19,768,80
27686,1,19,2606,80
27687,1,19,2112,81
27688,1,19,2008,84
27689,1,19,1832,86
27690,1,19,2938,86
27691,1,19,1068,88
27692,1,19,912,89
27693,1,19,501,90
27694,1,19,2666,90
27695,1,19,1704,92
27696,1,19,2451,92
27697,1,19,2604,92
27698,1,19,872,93
27699,1,19,1530,93
27700,1,19,153,94
27701,1,19,1788,94
27702,1,19,2389,96
27703,1,19,2067,97
27704,1,19,1113,98
27705,1,19,2127,98
27706,1,19,340,99
27707,1,19,2373,99
27708,1,19,881,101
27709,1,19,1413,103
27710,1,19,613,104
27711,1,19,1888,104
27712,1,19,625,105
27713,1,19,1921,106
27714,1,19,620,107
27715,1,19,802,107
27716,1,19,939,107
27717,1,19,1835,110
27718,1,19,2957,111
27719,1,19,496,112
27720,1,19,1364,112
27721,1,19,2606,113
27722,1,19,1287,114
27723,1,19,2350,114
27724,1,19,1219,116
27725,1,19,1626,116
27726,1,19,638,118
27727,1,19,974,118
27728,1,19,2733,118
27729,1,19,564,119
27730,1,19,2005,119
27731,1,19,2409,119
27732,1,19,2991,119
27733,1,19,1691,122
27734,1,19,1525,123
27735,1,19,1364,125
27736,1,19,1484,125
27737,1,19,2004,125
27738,1,19,1211,128
27739,1,19,576,129
27740,1,19,2541,129
27741,1,19,2577,130
27742,1,19,281,131
27743,1,19,1230,131
27744,1,19,944,132
27745,1,19,1538,132
27746,1,19,910,133
27747,1,19,723,134
27748,1,19,2066,134
27749,1,19,404,136
27750,1,19,1052,136
27751,1,19,1523,136
27752,1,19,1217,137
27753,1,19,761,140
27754,1,19,1023,141
27755,1,19,2085,141
27756,1,19,871,142
27757,1,19,2167,144
27758,1,19,2378,145
27759,1,19,165,146
27760,1,19,1215,147
27761,1,19,1335,149
27762,1,19,765,150
27763,1,19,2391,150
27764,1,19,1556,151
27765,1,19,2697,152
27766,1,19,488,153
27767,1,19,526,153
27768,1,19,1114,153
