"","pop","popName","percent","true"
"1","simulationRuns/10reps_meanDeg3/data/0.2 hom_nbd, 0.2 hom_blk, run 1","0.2 hom_nbd, 0.2 hom_blk, run 1",0.89,0.293
"2","simulationRuns/10reps_meanDeg3/data/0.2 hom_nbd, 0.2 hom_blk, run 1, noepi","0.2 hom_nbd, 0.2 hom_blk, run 1, noepi",0.956666666666667,0.293
"3","simulationRuns/10reps_meanDeg3/data/0.2 hom_nbd, 0.4 hom_blk, run 1","0.2 hom_nbd, 0.4 hom_blk, run 1",0.893333333333333,0.228666666666667
"4","simulationRuns/10reps_meanDeg3/data/0.2 hom_nbd, 0.4 hom_blk, run 1, noepi","0.2 hom_nbd, 0.4 hom_blk, run 1, noepi",0.97,0.228666666666667
"5","simulationRuns/10reps_meanDeg3/data/0.2 hom_nbd, 0.6 hom_blk, run 1","0.2 hom_nbd, 0.6 hom_blk, run 1",0.883333333333333,0.225333333333333
"6","simulationRuns/10reps_meanDeg3/data/0.2 hom_nbd, 0.6 hom_blk, run 1, noepi","0.2 hom_nbd, 0.6 hom_blk, run 1, noepi",0.95,0.225333333333333
"7","simulationRuns/10reps_meanDeg3/data/0.2 hom_nbd, 0.8 hom_blk, run 1","0.2 hom_nbd, 0.8 hom_blk, run 1",0.81,0.145666666666667
"8","simulationRuns/10reps_meanDeg3/data/0.2 hom_nbd, 0.8 hom_blk, run 1, noepi","0.2 hom_nbd, 0.8 hom_blk, run 1, noepi",0.936666666666667,0.145666666666667
"9","simulationRuns/10reps_meanDeg3/data/0.2 hom_nbd, 0.95 hom_blk, run 1","0.2 hom_nbd, 0.95 hom_blk, run 1",0.46,0.204
"10","simulationRuns/10reps_meanDeg3/data/0.2 hom_nbd, 0.95 hom_blk, run 1, noepi","0.2 hom_nbd, 0.95 hom_blk, run 1, noepi",0.946666666666667,0.204
"11","simulationRuns/10reps_meanDeg3/data/0.4 hom_nbd, 0.2 hom_blk, run 1","0.4 hom_nbd, 0.2 hom_blk, run 1",0.933333333333333,0.346333333333333
"12","simulationRuns/10reps_meanDeg3/data/0.4 hom_nbd, 0.2 hom_blk, run 1, noepi","0.4 hom_nbd, 0.2 hom_blk, run 1, noepi",0.943333333333333,0.346333333333333
