"","sim_i","t","out","in"
"1",1,1,142,1
"2",1,1,721,1
"3",1,1,795,1
"4",1,1,1018,1
"5",1,1,1885,1
"6",1,1,2182,1
"7",1,1,1078,2
"8",1,1,1093,2
"9",1,1,1197,2
"10",1,1,765,3
"11",1,1,805,4
"12",1,1,1714,4
"13",1,1,1841,4
"14",1,1,172,5
"15",1,1,623,5
"16",1,1,756,6
"17",1,1,1839,7
"18",1,1,2008,7
"19",1,1,2502,7
"20",1,1,2868,7
"21",1,1,2870,7
"22",1,1,358,8
"23",1,1,516,8
"24",1,1,1610,8
"25",1,1,2520,8
"26",1,1,2584,8
"27",1,1,1367,9
"28",1,1,1593,9
"29",1,1,1626,9
"30",1,1,2527,9
"31",1,1,247,10
"32",1,1,498,10
"33",1,1,1045,10
"34",1,1,1894,10
"35",1,1,2167,10
"36",1,1,2551,10
"37",1,1,67,12
"38",1,1,2095,12
"39",1,1,2849,12
"40",1,1,1333,13
"41",1,1,1427,13
"42",1,1,2545,13
"43",1,1,1985,14
"44",1,1,2014,14
"45",1,1,2464,14
"46",1,1,2531,14
"47",1,1,2864,14
"48",1,1,1555,15
"49",1,1,2200,15
"50",1,1,2236,15
"51",1,1,1168,16
"52",1,1,1591,16
"53",1,1,1781,16
"54",1,1,2391,16
"55",1,1,2602,16
"56",1,1,1753,17
"57",1,1,87,18
"58",1,1,1910,19
"59",1,1,2980,19
"60",1,1,3000,20
"61",1,1,240,21
"62",1,1,695,21
"63",1,1,1153,21
"64",1,1,1189,21
"65",1,1,1704,22
"66",1,1,1932,22
"67",1,1,2435,22
"68",1,1,2443,22
"69",1,1,158,23
"70",1,1,1522,23
"71",1,1,1685,23
"72",1,1,2013,23
"73",1,1,567,25
"74",1,1,1535,25
"75",1,1,2170,25
"76",1,1,2556,25
"77",1,1,1588,26
"78",1,1,668,27
"79",1,1,910,27
"80",1,1,2573,27
"81",1,1,71,28
"82",1,1,532,28
"83",1,1,779,28
"84",1,1,2475,28
"85",1,1,2789,28
"86",1,1,949,29
"87",1,1,1106,29
"88",1,1,1251,29
"89",1,1,1439,29
"90",1,1,686,30
"91",1,1,1641,30
"92",1,1,2342,30
"93",1,1,359,32
"94",1,1,729,32
"95",1,1,1249,32
"96",1,1,1723,32
"97",1,1,1818,32
"98",1,1,1895,33
"99",1,1,234,34
"100",1,1,784,34
"101",1,1,1316,34
"102",1,1,1374,34
"103",1,1,1906,34
"104",1,1,2189,34
"105",1,1,469,35
"106",1,1,705,35
"107",1,1,266,36
"108",1,1,1599,36
"109",1,1,1634,36
"110",1,1,1854,36
"111",1,1,1858,36
"112",1,1,340,37
"113",1,1,2611,37
"114",1,1,430,38
"115",1,1,814,38
"116",1,1,2301,38
"117",1,1,128,39
"118",1,1,2010,39
"119",1,1,1772,40
"120",1,1,2156,40
"121",1,1,2107,41
"122",1,1,2216,41
"123",1,1,2469,41
"124",1,1,638,42
"125",1,1,1987,42
"126",1,1,715,43
"127",1,1,1215,43
"128",1,1,1807,43
"129",1,1,1836,43
"130",1,1,480,44
"131",1,1,943,44
"132",1,1,960,44
"133",1,1,1783,44
"134",1,1,706,45
"135",1,1,900,45
"136",1,1,1082,45
"137",1,1,112,46
"138",1,1,443,46
"139",1,1,811,46
"140",1,1,1039,46
"141",1,1,2503,46
"142",1,1,2558,46
"143",1,1,119,47
"144",1,1,233,47
"145",1,1,497,47
"146",1,1,676,47
"147",1,1,1733,47
"148",1,1,1746,47
"149",1,1,2704,47
"150",1,1,2708,47
"151",1,1,2729,47
"152",1,1,122,48
"153",1,1,147,48
"154",1,1,1286,48
"155",1,1,398,49
"156",1,1,1005,49
"157",1,1,238,50
"158",1,1,2530,50
"159",1,1,2725,50
"160",1,1,2787,50
"161",1,1,2535,51
"162",1,1,124,52
"163",1,1,1763,52
"164",1,1,2169,52
"165",1,1,2272,52
"166",1,1,2426,52
"167",1,1,58,53
"168",1,1,1180,53
"169",1,1,1915,53
"170",1,1,1992,53
"171",1,1,2863,53
"172",1,1,630,54
"173",1,1,1680,54
"174",1,1,1995,54
"175",1,1,2148,54
"176",1,1,108,55
"177",1,1,338,55
"178",1,1,957,55
"179",1,1,1068,55
"180",1,1,1071,55
"181",1,1,1106,55
"182",1,1,1304,55
"183",1,1,1705,55
"184",1,1,82,56
"185",1,1,1364,56
"186",1,1,1917,56
"187",1,1,2205,56
"188",1,1,227,57
"189",1,1,424,57
"190",1,1,936,57
"191",1,1,2773,57
"192",1,1,1396,58
"193",1,1,2745,58
"194",1,1,2812,58
"195",1,1,703,59
"196",1,1,1638,59
"197",1,1,2125,59
"198",1,1,2356,59
"199",1,1,145,60
"200",1,1,600,60
"201",1,1,1958,60
"202",1,1,883,61
"203",1,1,1251,61
"204",1,1,1756,61
"205",1,1,291,62
"206",1,1,315,62
"207",1,1,821,62
"208",1,1,1148,62
"209",1,1,1584,62
"210",1,1,2618,62
"211",1,1,410,63
"212",1,1,2022,63
"213",1,1,2307,63
"214",1,1,2441,63
"215",1,1,170,64
"216",1,1,649,64
"217",1,1,1756,64
"218",1,1,2844,64
"219",1,1,312,65
"220",1,1,1393,65
"221",1,1,1917,65
"222",1,1,2999,65
"223",1,1,989,66
"224",1,1,2878,66
"225",1,1,144,67
"226",1,1,189,67
"227",1,1,690,67
"228",1,1,1738,67
"229",1,1,2507,67
"230",1,1,2746,67
"231",1,1,237,68
"232",1,1,2461,68
"233",1,1,188,69
"234",1,1,190,69
"235",1,1,248,69
"236",1,1,257,69
"237",1,1,2530,69
"238",1,1,2625,69
"239",1,1,2648,69
"240",1,1,179,70
"241",1,1,1010,70
"242",1,1,1794,70
"243",1,1,2213,70
"244",1,1,2509,70
"245",1,1,1243,71
"246",1,1,2243,71
"247",1,1,2476,71
"248",1,1,1004,72
"249",1,1,2050,72
"250",1,1,2065,72
"251",1,1,311,73
"252",1,1,2586,73
"253",1,1,2708,73
"254",1,1,2117,74
"255",1,1,2762,74
"256",1,1,2788,74
"257",1,1,317,75
"258",1,1,615,75
"259",1,1,1893,75
"260",1,1,2567,75
"261",1,1,2942,75
"262",1,1,694,76
"263",1,1,761,76
"264",1,1,1434,76
"265",1,1,1681,76
"266",1,1,2579,76
"267",1,1,272,77
"268",1,1,324,77
"269",1,1,1564,77
"270",1,1,1623,77
"271",1,1,723,78
"272",1,1,1001,78
"273",1,1,1097,78
"274",1,1,2733,78
"275",1,1,1092,79
"276",1,1,1095,80
"277",1,1,2049,80
"278",1,1,2386,80
"279",1,1,177,81
"280",1,1,1327,81
"281",1,1,2895,81
"282",1,1,201,82
"283",1,1,1787,82
"284",1,1,2175,82
"285",1,1,2241,82
"286",1,1,2511,82
"287",1,1,1128,83
"288",1,1,1441,83
"289",1,1,1533,83
"290",1,1,1468,84
"291",1,1,1589,84
"292",1,1,1675,84
"293",1,1,1796,84
"294",1,1,2308,84
"295",1,1,2797,84
"296",1,1,182,85
"297",1,1,720,85
"298",1,1,1758,85
"299",1,1,2045,85
"300",1,1,2156,85
"301",1,1,2433,85
"302",1,1,2711,85
"303",1,1,370,86
"304",1,1,612,86
"305",1,1,988,86
"306",1,1,2443,86
"307",1,1,2512,86
"308",1,1,2879,86
"309",1,1,1147,87
"310",1,1,1166,87
"311",1,1,1454,87
"312",1,1,1747,87
"313",1,1,1816,87
"314",1,1,2523,87
"315",1,1,183,88
"316",1,1,296,88
"317",1,1,2227,88
"318",1,1,2800,88
"319",1,1,957,89
"320",1,1,1633,89
"321",1,1,1664,89
"322",1,1,2709,89
"323",1,1,2773,89
"324",1,1,1378,90
"325",1,1,1642,90
"326",1,1,2385,90
"327",1,1,487,91
"328",1,1,2209,91
"329",1,1,2521,91
"330",1,1,2532,91
"331",1,1,2177,92
"332",1,1,2445,92
"333",1,1,501,93
"334",1,1,1496,93
"335",1,1,2390,93
"336",1,1,2422,93
"337",1,1,464,94
"338",1,1,1243,94
"339",1,1,1529,94
"340",1,1,2323,94
"341",1,1,162,95
"342",1,1,1074,95
"343",1,1,2584,95
"344",1,1,2905,95
"345",1,1,1348,96
"346",1,1,2967,96
"347",1,1,976,97
"348",1,1,1216,97
"349",1,1,1734,97
"350",1,1,1908,98
"351",1,1,2767,98
"352",1,1,2941,98
"353",1,1,2377,100
"354",1,1,391,101
