"","sampleNo","pop","testatus_i_rdsIest","testatus_s_rdsIest","testatus_i_rdsIIest","testatus_s_rdsIIest","testatus_i_rdsIse","testatus_s_rdsIse","testatus_i_rdsIIse","testatus_s_rdsIIse","testatus_i_rdsI95low","testatus_s_rdsI95low","testatus_i_rdsII95low","testatus_s_rdsII95low","testatus_i_rdsI95high","testatus_s_rdsI95high","testatus_i_rdsII95high","testatus_s_rdsII95high","testatus_i_true","testatus_s_true","blk_0_rdsIest","blk_1_rdsIest","blk_0_rdsIIest","blk_1_rdsIIest","blk_0_rdsIse","blk_1_rdsIse","blk_0_rdsIIse","blk_1_rdsIIse","blk_0_rdsI95low","blk_1_rdsI95low","blk_0_rdsII95low","blk_1_rdsII95low","blk_0_rdsI95high","blk_1_rdsI95high","blk_0_rdsII95high","blk_1_rdsII95high","blk_0_true","blk_1_true"
"1",0,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.0330541262778789,0.966945873722121,0.0323613222841334,0.967638677715867,0.0116500120083603,0.0116500120083603,0.01209188925178,0.01209188925178,0.0102201027414927,0.944111850185735,0.00866121935064468,0.943938574782378,0.055888149814265,0.989779897258507,0.0560614252176222,0.991338780649355,0.0693333333333333,0.930666666666667,0.536615307651515,0.463384692348485,0.532958088021526,0.467041911978474,0.0337709186550519,0.0337709186550519,0.0518784146530461,0.0518784146530461,0.470424307087613,0.397193691784584,0.431276395301556,0.365360219258503,0.602806308215416,0.529575692912387,0.634639780741497,0.568723604698444,0.501333333333333,0.498666666666667
"2",1,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.058261533194768,0.941738466805232,0.0537566667259992,0.946243333274001,0.0106937266635975,0.0106937266635975,0.0125076601550813,0.0125076601550813,0.0373018289341169,0.920778762544581,0.0292416528220399,0.921728319370042,0.0792212374554191,0.962698171065883,0.0782716806299584,0.97075834717796,0.0693333333333333,0.930666666666667,0.536224873341928,0.463775126658072,0.518610557236852,0.481389442763148,0.0337189053011589,0.0337189053011589,0.060554746371835,0.060554746371835,0.470135818951657,0.3976860722678,0.399923254348055,0.362702139874352,0.6023139277322,0.529864181048343,0.637297860125648,0.600076745651945,0.501333333333333,0.498666666666667
"3",2,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.0743929062212355,0.925607093778764,0.0759713488570613,0.924028651142939,0.0120439035311284,0.0120439035311284,0.0154653297853758,0.0154653297853758,0.0507868553002238,0.902001042857753,0.0456593024777246,0.893716604763602,0.0979989571422472,0.949213144699776,0.106283395236398,0.954340697522275,0.0693333333333333,0.930666666666667,0.470686815336245,0.529313184663755,0.474206857737053,0.525793142262947,0.0333678505743327,0.0333678505743327,0.0674229941815838,0.0674229941815838,0.405285828210553,0.463912197538063,0.342057789141149,0.393644073667042,0.536087802461937,0.594714171789447,0.606355926332958,0.657942210858851,0.501333333333333,0.498666666666667
"4",3,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.0480363368360236,0.951963663163977,0.0441974360072031,0.955802563992797,0.0136167944970688,0.0136167944970688,0.0133901260563889,0.0133901260563889,0.0213474196217687,0.925274745949722,0.0179527889366808,0.929557916922275,0.0747252540502784,0.978652580378231,0.0704420830777253,0.982047211063319,0.0693333333333333,0.930666666666667,0.503213940802691,0.496786059197309,0.508537654578721,0.491462345421279,0.0338108177125915,0.0338108177125914,0.0458934805632069,0.0458934805632069,0.436944738086012,0.430516856480629,0.418586432674836,0.401511123517393,0.569483143519371,0.563055261913988,0.598488876482607,0.581413567325164,0.501333333333333,0.498666666666667
"5",4,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.0498828718948049,0.950117128105195,0.050427685983046,0.949572314016954,0.0105753792757483,0.0105753792757483,0.0112356897077323,0.0112356897077323,0.0291551285143382,0.929389384724728,0.0284057341558907,0.927550362189799,0.0706106152752715,0.970844871485662,0.0724496378102013,0.971594265844109,0.0693333333333333,0.930666666666667,0.581687086796368,0.418312913203632,0.592132992177329,0.407867007822671,0.0331285709578748,0.0331285709578748,0.0461188926113586,0.0461188926113586,0.516755087718933,0.353380914126197,0.501739962659066,0.317473978304408,0.646619085873802,0.483244912281067,0.682526021695592,0.498260037340934,0.501333333333333,0.498666666666667
"6",5,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.0561459413875722,0.943854058612428,0.0568691945283793,0.943130805471621,0.0159426031694052,0.0159426031694051,0.0169582500256183,0.0169582500256183,0.0248984391755381,0.912606556400394,0.0236310244781674,0.909892635421409,0.0873934435996063,0.975101560824462,0.0901073645785911,0.976368975521833,0.0693333333333333,0.930666666666667,0.522569767616231,0.477430232383769,0.505839349704457,0.494160650295543,0.0340211014875577,0.0340211014875578,0.0456570599750559,0.0456570599750559,0.455888408700618,0.410748873468155,0.416351512153347,0.404672812744434,0.589251126531845,0.544111591299382,0.595327187255566,0.583648487846653,0.501333333333333,0.498666666666667
"7",6,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.0694052568467897,0.93059474315321,0.0736810399334857,0.926318960066514,0.0161299872635969,0.0161299872635969,0.0393767862375453,0.0393767862375453,0.0377904818101397,0.89897996811656,-0.00349746109210304,0.849140459040926,0.10102003188344,0.96220951818986,0.150859540959074,1.0034974610921,0.0693333333333333,0.930666666666667,0.503135095391022,0.496864904608978,0.508501983978811,0.491498016021189,0.033842554525705,0.0338425545257049,0.0593274430767398,0.0593274430767398,0.436803688520641,0.430533497738596,0.392220195548401,0.375216227590779,0.569466502261404,0.563196311479359,0.624783772409221,0.607779804451599,0.501333333333333,0.498666666666667
"8",7,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.0859072356810958,0.914092764318904,0.0927296650029445,0.907270334997056,0.013736731401171,0.013736731401171,0.025822455431338,0.025822455431338,0.0589832421348007,0.887168770772609,0.042117652357522,0.856658322351633,0.112831229227391,0.941016757865199,0.143341677648367,0.957882347642478,0.0693333333333333,0.930666666666667,0.485248465916297,0.514751534083703,0.486188717884887,0.513811282115113,0.0343377768468656,0.0343377768468656,0.0579036643372225,0.0579036643372225,0.41794642329644,0.447449491463847,0.372697535783931,0.400320100014157,0.552550508536153,0.58205357670356,0.599679899985843,0.627302464216069,0.501333333333333,0.498666666666667
"9",8,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.0667954783634463,0.933204521636554,0.0697543451971641,0.930245654802836,0.0139112721193154,0.0139112721193154,0.0145875063483063,0.0145875063483063,0.039529385009588,0.905938428282696,0.0411628327544837,0.901654142360155,0.0940615717173045,0.960470614990412,0.0983458576398445,0.958837167245516,0.0693333333333333,0.930666666666667,0.471144661686071,0.528855338313929,0.467248002276338,0.532751997723662,0.0338808108815233,0.0338808108815233,0.066660183120789,0.066660183120789,0.404738272358285,0.462448948986144,0.336594043359591,0.402098038806916,0.537551051013856,0.595261727641715,0.597901961193084,0.663405956640408,0.501333333333333,0.498666666666667
"10",9,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.0878923438107611,0.912107656189239,0.0822015151115096,0.91779848488849,0.0183156873163214,0.0183156873163215,0.0236927470531251,0.0236927470531251,0.0519935966707711,0.876208909049249,0.0357637308873845,0.871360700664365,0.123791090950751,0.948006403329229,0.128639299335635,0.964236269112616,0.0693333333333333,0.930666666666667,0.579726652893426,0.420273347106574,0.588161282805126,0.411838717194874,0.0335186092562808,0.0335186092562808,0.0671632977153286,0.0671632977153286,0.514030178751116,0.354576872964264,0.456521219283082,0.28019865367283,0.645423127035736,0.485969821248884,0.71980134632717,0.543478780716918,0.501333333333333,0.498666666666667
"11",10,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.0754500412021848,0.924549958797815,0.0594695071822607,0.940530492817739,0.0192759997236938,0.0192759997236938,0.0149284551336639,0.0149284551336639,0.037669081743745,0.886768999339375,0.0302097351202795,0.911270720755758,0.113231000660625,0.962330918256255,0.0887292792442419,0.969790264879721,0.0693333333333333,0.930666666666667,0.519574942537765,0.480425057462235,0.516596171995731,0.483403828004269,0.0335654810162856,0.0335654810162856,0.0705849682009546,0.0705849682009546,0.453786599745845,0.414636714670315,0.37824963432186,0.345057290330397,0.585363285329685,0.546213400254155,0.654942709669603,0.62175036567814,0.501333333333333,0.498666666666667
"12",11,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.0775381881908985,0.922461811809102,0.0731154172732721,0.926884582726728,0.0149585322915296,0.0149585322915296,0.0140273377853546,0.0140273377853546,0.0482194648995004,0.893143088517704,0.0456218352139771,0.899391000667433,0.106856911482297,0.9517805351005,0.100608999332567,0.954378164786023,0.0693333333333333,0.930666666666667,0.469859391553856,0.530140608446144,0.459280878142302,0.540719121857698,0.0338917736196154,0.0338917736196154,0.0518225586357855,0.0518225586357855,0.40343151525941,0.463712732151698,0.357708663216162,0.439146906931559,0.536287267848302,0.59656848474059,0.560853093068441,0.642291336783838,0.501333333333333,0.498666666666667
"13",12,"simulationRuns/sim_3/data/epi_3000-0.25-0.5_1",0.0892465229152441,0.910753477084756,0.0968987796460001,0.903101220354,0.0166414178071017,0.0166414178071017,0.0209465078888422,0.0209465078888421,0.0566293440133247,0.878136298182837,0.0558436241838695,0.862046064891869,0.121863701817163,0.943370655986675,0.137953935108131,0.94415637581613,0.0693333333333333,0.930666666666667,0.464186493708028,0.535813506291973,0.452981857005404,0.547018142994596,0.0335704703588065,0.0335704703588064,0.0475971241054281,0.0475971241054281,0.398388371804767,0.470015384388712,0.359691493758765,0.453727779747957,0.529984615611288,0.601611628195233,0.546272220252043,0.640308506241235,0.501333333333333,0.498666666666667
