id,degree,blk,testatus
1,5,0,s
2,4,1,s
3,6,1,s
4,11,0,s
5,5,1,s
6,3,0,s
7,2,1,s
8,7,1,i
9,3,0,s
10,5,0,s
11,9,1,s
12,4,0,i
13,5,0,i
14,8,1,s
15,6,1,s
16,8,1,s
17,4,0,s
18,6,1,s
19,13,1,s
20,4,1,s
21,6,1,s
22,6,0,s
23,4,1,s
24,4,1,s
25,6,0,s
26,8,0,s
27,2,1,s
28,4,0,i
29,5,1,s
30,8,0,s
31,5,1,s
32,5,0,s
33,1,1,s
34,3,0,s
35,4,1,s
36,5,0,s
37,4,1,s
38,4,1,s
39,2,0,s
40,4,1,s
41,4,0,s
42,5,0,s
43,3,1,s
44,4,1,s
45,4,0,i
46,4,0,s
47,7,1,s
48,10,0,s
49,5,0,i
50,4,0,s
51,6,0,s
52,6,0,s
53,9,0,s
54,5,1,s
55,0,0,s
56,3,1,s
57,6,0,s
58,5,0,s
59,3,1,s
60,2,0,s
61,5,1,s
62,4,0,s
63,6,0,s
64,4,1,s
65,6,1,s
66,3,1,s
67,8,1,s
68,6,0,i
69,5,1,s
70,6,1,s
71,5,1,s
72,3,0,s
73,3,0,s
74,9,0,i
75,8,0,s
76,1,0,s
77,5,1,s
78,7,0,s
79,4,0,s
80,5,1,s
81,6,0,s
82,6,1,s
83,0,0,s
84,2,1,s
85,4,1,s
86,1,0,s
87,5,0,s
88,4,1,s
89,4,1,s
90,4,1,s
91,4,1,s
92,6,0,i
93,3,1,s
94,3,0,s
95,7,0,i
96,5,0,i
97,1,1,s
98,4,0,s
99,2,1,s
100,5,1,s
101,4,1,s
102,4,0,s
103,2,0,s
104,4,1,s
105,1,0,s
106,5,1,s
107,2,1,s
108,2,1,s
109,7,0,s
110,5,1,s
111,3,0,s
112,4,0,s
113,3,0,s
114,4,1,s
115,3,1,s
116,5,1,s
117,2,0,s
118,3,0,s
119,4,1,s
120,5,1,s
121,6,0,s
122,3,0,s
123,7,0,s
124,9,1,s
125,3,0,s
126,5,1,s
127,7,1,s
128,5,0,s
129,4,0,s
130,1,0,s
131,6,0,s
132,3,0,s
133,3,1,s
134,6,0,i
135,9,1,s
136,4,1,s
137,2,0,s
138,4,1,s
139,5,0,s
140,2,0,i
141,3,1,s
142,3,0,s
143,4,1,s
144,3,1,s
145,9,0,s
146,7,1,s
147,7,0,i
148,10,0,i
149,0,0,s
150,6,1,s
151,4,0,s
152,5,1,s
153,2,0,s
154,5,1,i
155,3,0,s
156,7,0,s
157,3,1,s
158,3,1,s
159,3,0,i
160,5,1,s
161,4,0,s
162,5,0,s
163,7,1,s
164,4,0,s
165,4,0,s
166,7,0,s
167,7,0,s
168,4,1,s
169,6,0,s
170,4,1,s
171,7,0,s
172,7,0,s
173,7,1,s
174,4,0,s
175,3,0,i
176,0,0,s
177,6,0,s
178,0,1,s
179,2,0,s
180,3,0,s
181,4,1,s
182,3,1,s
183,4,0,s
184,1,1,s
185,2,1,s
186,4,1,s
