"","sampleNo","pop","testatus_i_rdsIest","testatus_s_rdsIest","testatus_i_rdsIIest","testatus_s_rdsIIest","testatus_i_rdsIse","testatus_s_rdsIse","testatus_i_rdsIIse","testatus_s_rdsIIse","testatus_i_true","testatus_s_true","blk_0_rdsIest","blk_1_rdsIest","blk_0_rdsIIest","blk_1_rdsIIest","blk_0_rdsIse","blk_1_rdsIse","blk_0_rdsIIse","blk_1_rdsIIse","blk_0_true","blk_1_true"
"1",0,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.115399502150909,0.884600497849091,0.128597498357629,0.871402501642371,0.018789550617863,0.018789550617863,0.0404768859542833,0.0404768859542833,0.11,0.89,0.461777649831225,0.538222350168775,0.499094974164308,0.500905025835692,0.0344788832812328,0.0344788832812328,0.0598655066970763,0.0598655066970763,0.51,0.49
"2",1,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0882603492122037,0.911739650787796,0.0886182529775332,0.911381747022467,0.0132818185377611,0.0132818185377611,0.0178212247700279,0.0178212247700279,0.11,0.89,0.526429771035441,0.473570228964559,0.525186208270941,0.474813791729059,0.0340907080576318,0.0340907080576318,0.0592466896463229,0.0592466896463229,0.51,0.49
"3",2,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.128289687272284,0.871710312727716,0.131836600028633,0.868163399971367,0.0199362747768144,0.0199362747768144,0.0365367135337702,0.0365367135337702,0.11,0.89,0.55978565459757,0.44021434540243,0.545776150605133,0.454223849394867,0.0333367253966574,0.0333367253966574,0.0581943756327034,0.0581943756327034,0.51,0.49
"4",3,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0870957442259784,0.912904255774022,0.0900030930785911,0.909996906921409,0.0168975917338856,0.0168975917338855,0.0228899822699098,0.0228899822699098,0.11,0.89,0.500913350317661,0.499086649682339,0.470986318483809,0.529013681516191,0.0335292112763187,0.0335292112763187,0.0542479014908855,0.0542479014908855,0.51,0.49
"5",4,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.133244730868508,0.866755269131492,0.123315029057526,0.876684970942474,0.0219786937382156,0.0219786937382156,0.0287116188078587,0.0287116188078587,0.11,0.89,0.443964619122438,0.556035380877562,0.442143526941656,0.557856473058344,0.0331985331573813,0.0331985331573813,0.0574678741906252,0.0574678741906252,0.51,0.49
"6",5,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0878473595107144,0.912152640489286,0.0853363975633827,0.914663602436617,0.0139867701398033,0.0139867701398032,0.0263931014694704,0.0263931014694704,0.11,0.89,0.47021116208776,0.52978883791224,0.471051234100863,0.528948765899137,0.0335045181162279,0.0335045181162279,0.0618295726879106,0.0618295726879106,0.51,0.49
"7",6,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.102580923036606,0.897419076963395,0.106143729586455,0.893856270413545,0.0155677641499567,0.0155677641499566,0.0272267838763529,0.0272267838763529,0.11,0.89,0.496652117969693,0.503347882030307,0.490179245065492,0.509820754934508,0.0336648635220903,0.0336648635220903,0.0499331299425622,0.0499331299425622,0.51,0.49
"8",7,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.133903825084148,0.866096174915852,0.127599430203948,0.872400569796052,0.0207935074536838,0.0207935074536838,0.0338395594427642,0.0338395594427642,0.11,0.89,0.464953524517229,0.535046475482771,0.461785871912173,0.538214128087827,0.0332789856225494,0.0332789856225494,0.0557265783862459,0.0557265783862459,0.51,0.49
"9",8,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0821089409972067,0.917891059002793,0.0862717137671766,0.913728286232824,0.0150010264040033,0.0150010264040033,0.0205608120794019,0.0205608120794019,0.11,0.89,0.522502621235737,0.477497378764263,0.498471302452508,0.501528697547492,0.033992294167621,0.033992294167621,0.067278537119427,0.0672785371194271,0.51,0.49
"10",9,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.121766127128952,0.878233872871048,0.120946601646312,0.879053398353688,0.0186195833980302,0.0186195833980302,0.0235861468306292,0.0235861468306292,0.11,0.89,0.509345632675024,0.490654367324976,0.500152149400753,0.499847850599247,0.0337219544221152,0.0337219544221152,0.047227912542921,0.047227912542921,0.51,0.49
"11",10,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.117898866537835,0.882101133462165,0.130375283998492,0.869624716001508,0.0201272091021475,0.0201272091021475,0.0609312086438861,0.0609312086438861,0.11,0.89,0.480332702736897,0.519667297263103,0.470881265486419,0.529118734513581,0.0334826382197461,0.0334826382197461,0.0638922836670917,0.0638922836670917,0.51,0.49
"12",11,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.109155429271132,0.890844570728868,0.103036149638199,0.896963850361801,0.0175742204979893,0.0175742204979893,0.0258278091163851,0.0258278091163851,0.11,0.89,0.480562234710426,0.519437765289574,0.50245970625773,0.49754029374227,0.0342422727953685,0.0342422727953685,0.0477060817310499,0.0477060817310499,0.51,0.49
"13",12,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.115806782986991,0.884193217013009,0.102760809899434,0.897239190100566,0.0208266753251141,0.0208266753251141,0.0320479232682656,0.0320479232682657,0.11,0.89,0.450982857894883,0.549017142105117,0.461412568277337,0.538587431722663,0.0336879085944659,0.0336879085944659,0.0657045295017328,0.0657045295017329,0.51,0.49
"14",13,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.111665257633159,0.888334742366841,0.112671366526739,0.887328633473261,0.0188803895343364,0.0188803895343363,0.0341964570594809,0.0341964570594809,0.11,0.89,0.566339346686134,0.433660653313866,0.544327818220682,0.455672181779318,0.0331570898754951,0.0331570898754951,0.0454898270854627,0.0454898270854627,0.51,0.49
