id,degree,blk,testatus
1,6,1,s
2,3,0,s
3,5,0,s
4,5,1,s
5,2,0,i
6,6,1,s
7,4,0,s
8,7,1,i
9,3,1,s
10,6,0,s
11,8,1,s
12,3,1,s
13,6,0,s
14,7,1,s
15,5,0,s
16,4,1,s
17,7,0,s
18,4,0,s
19,4,0,s
20,6,1,s
21,5,0,s
22,3,1,s
23,5,1,s
24,2,1,s
25,4,1,s
26,4,0,s
27,9,0,s
28,4,0,s
29,3,1,s
30,5,0,s
31,7,0,s
32,7,0,s
33,0,1,s
34,1,1,s
35,4,1,s
36,7,0,s
37,3,1,s
38,2,1,s
39,4,1,i
40,6,0,s
41,5,1,s
42,8,1,s
43,3,0,s
44,7,0,s
45,7,0,s
46,4,0,s
47,7,0,s
48,3,1,s
49,7,1,s
50,6,1,s
51,5,1,s
52,7,1,s
53,4,0,s
54,4,0,i
55,6,1,s
56,5,1,s
57,3,0,s
58,3,1,s
59,5,1,s
60,3,1,s
61,6,1,s
62,11,0,s
63,5,1,s
64,3,1,s
65,4,1,s
66,5,0,s
67,5,0,s
68,4,0,s
69,7,1,s
70,7,1,s
71,4,1,s
72,2,0,s
73,7,0,s
74,1,0,s
75,3,0,s
76,5,1,s
77,4,0,s
78,6,0,s
79,3,1,s
80,1,1,s
81,0,1,s
82,5,0,s
83,10,1,s
84,2,1,s
85,9,0,s
86,4,0,s
87,2,0,i
88,5,0,s
89,5,1,s
90,4,1,s
91,7,1,s
92,6,1,s
93,10,1,s
94,0,1,s
95,3,1,s
96,3,0,s
97,4,1,s
98,3,0,s
99,1,0,s
100,3,0,s
101,4,0,s
102,10,1,s
103,11,0,i
104,10,0,s
105,1,1,s
106,7,0,s
107,2,1,s
108,5,0,s
109,8,0,i
110,3,0,s
111,5,0,s
112,5,1,s
113,7,1,s
114,7,1,s
115,4,0,s
116,4,0,s
117,4,1,s
118,7,1,i
119,5,0,s
120,5,1,s
121,3,1,i
122,9,0,s
123,3,0,s
124,4,0,s
125,2,0,s
