"","sampleNo","pop","testatus_i_rdsIest","testatus_s_rdsIest","testatus_i_rdsIIest","testatus_s_rdsIIest","testatus_i_rdsIse","testatus_s_rdsIse","testatus_i_rdsIIse","testatus_s_rdsIIse","testatus_i_rdsI95low","testatus_s_rdsI95low","testatus_i_rdsII95low","testatus_s_rdsII95low","testatus_i_rdsI95high","testatus_s_rdsI95high","testatus_i_rdsII95high","testatus_s_rdsII95high","testatus_i_true","testatus_s_true","blk_0_rdsIest","blk_1_rdsIest","blk_0_rdsIIest","blk_1_rdsIIest","blk_0_rdsIse","blk_1_rdsIse","blk_0_rdsIIse","blk_1_rdsIIse","blk_0_rdsI95low","blk_1_rdsI95low","blk_0_rdsII95low","blk_1_rdsII95low","blk_0_rdsI95high","blk_1_rdsI95high","blk_0_rdsII95high","blk_1_rdsII95high","blk_0_true","blk_1_true"
"1",0,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.183895715967442,0.816104284032558,0.2399737380345,0.7600262619655,0.0381916708528407,0.0381916708528407,0.070100889461265,0.0701008894612651,0.109040041095874,0.741248609160991,0.10257599469042,0.622628518621421,0.258751390839009,0.890959958904126,0.377371481378579,0.89742400530958,0.2055,0.7945,0.425789132003946,0.574210867996054,0.451727835241125,0.548272164758875,0.0576630366007105,0.0576630366007105,0.0915697716210332,0.0915697716210332,0.312769580266554,0.461191316258661,0.2722510828639,0.36879541238165,0.538808683741339,0.687230419733446,0.63120458761835,0.7277489171361,0.484,0.516
"2",1,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.285204529363468,0.714795470636532,0.259874056807727,0.740125943192273,0.0494590824311672,0.0494590824311672,0.066793925556314,0.066793925556314,0.188264727798381,0.617855669071444,0.128957962717351,0.609209849101897,0.382144330928556,0.811735272201619,0.390790150898102,0.871042037282649,0.2055,0.7945,0.381965286450441,0.618034713549559,0.413752970588331,0.586247029411669,0.0552767734075527,0.0552767734075527,0.074857633857517,0.074857633857517,0.273622810571638,0.509692237670756,0.267032008227598,0.439526067050936,0.490307762329244,0.726377189428362,0.560473932949064,0.732967991772402,0.484,0.516
"3",2,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.267418573785646,0.732581426214354,0.27904585396571,0.72095414603429,0.051395806229875,0.051395806229875,0.0769731407800016,0.0769731407800016,0.166682793575091,0.631845646003799,0.128178498036907,0.570086790105487,0.368154353996201,0.833317206424909,0.429913209894513,0.871821501963093,0.2055,0.7945,0.454382060840782,0.545617939159219,0.455188482124968,0.544811517875032,0.0603234600718786,0.0603234600718786,0.0830668358563703,0.0830668358563704,0.3361480790999,0.427383957418337,0.292377483846482,0.382000519596546,0.572616042581664,0.6638519209001,0.617999480403454,0.707622516153518,0.484,0.516
"4",3,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.259745745628675,0.740254254371325,0.239538414524712,0.760461585475289,0.0494993346649334,0.0494993346649334,0.067035860517799,0.067035860517799,0.162727049685406,0.643235558428056,0.108148127909825,0.629071298860402,0.356764441571945,0.837272950314594,0.370928701139598,0.891851872090175,0.2055,0.7945,0.485371508190229,0.514628491809771,0.473686167796054,0.526313832203946,0.0596529580747704,0.0596529580747704,0.110162468463525,0.110162468463525,0.368451710363679,0.397708693983221,0.257767729607544,0.310395394015436,0.602291306016779,0.631548289636321,0.689604605984564,0.742232270392456,0.484,0.516
"5",4,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.337743419181228,0.662256580818772,0.325153274079449,0.674846725920552,0.0586607783355863,0.0586607783355864,0.0843666892642038,0.0843666892642038,0.222768293643479,0.547281455281023,0.159794563121609,0.509488014962712,0.452718544718977,0.777231706356521,0.490511985037288,0.840205436878391,0.2055,0.7945,0.587924356046367,0.412075643953633,0.610157808815527,0.389842191184473,0.0590832492947429,0.0590832492947429,0.0733066067373814,0.0733066067373814,0.472121187428671,0.296272475335937,0.466476859610259,0.246161241979205,0.703727524664063,0.527878812571329,0.753838758020795,0.533523140389741,0.484,0.516
"6",5,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.168989935372232,0.831010064627768,0.179929923663867,0.820070076336133,0.0376276125107816,0.0376276125107816,0.0480776828206638,0.0480776828206638,0.0952398148511001,0.757259944106636,0.0856976653353661,0.725837818007632,0.242740055893364,0.9047601851489,0.274162181992368,0.914302334664634,0.2055,0.7945,0.542754100518229,0.45724589948177,0.51406618023874,0.48593381976126,0.060988468403637,0.060988468403637,0.0769520406928777,0.0769520406928776,0.423216702447101,0.337708501410642,0.3632401804807,0.335107820003219,0.662291498589358,0.576783297552899,0.664892179996781,0.6367598195193,0.484,0.516
"7",6,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.148611584809349,0.851388415190651,0.142469951094191,0.857530048905809,0.0421971386317319,0.0421971386317319,0.0538695165357553,0.0538695165357553,0.0659051930911542,0.768682023472457,0.0368856986841103,0.751945796495729,0.231317976527543,0.934094806908846,0.248054203504271,0.96311430131589,0.2055,0.7945,0.502681717403589,0.497318282596412,0.483713850331273,0.516286149668727,0.0656991702935716,0.0656991702935716,0.0851843197197158,0.0851843197197158,0.373911343628188,0.368547908821011,0.31675258368063,0.349324883018084,0.631452091178989,0.626088656371812,0.650675116981916,0.68324741631937,0.484,0.516
"8",7,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.238115287730958,0.761884712269042,0.203000482144931,0.796999517855069,0.0559160298171883,0.0559160298171883,0.0644198827685445,0.0644198827685445,0.128519869289269,0.652289293827353,0.0767375119185838,0.670736547628722,0.347710706172647,0.871480130710731,0.329263452371278,0.923262488081416,0.2055,0.7945,0.646830236483585,0.353169763516415,0.659775387459305,0.340224612540695,0.056264403431362,0.0562644034313621,0.103878244913092,0.103878244913092,0.536552005758116,0.242891532790945,0.456174027429644,0.136623252511034,0.757108467209055,0.463447994241885,0.863376747488966,0.543825972570356,0.484,0.516
"9",8,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.159653473841837,0.840346526158163,0.165536138575918,0.834463861424082,0.0400377934055359,0.0400377934055359,0.0538527211516035,0.0538527211516035,0.0811793987669868,0.761872451083313,0.0599848051187749,0.728912527966939,0.238127548916687,0.918820601233013,0.271087472033061,0.940015194881225,0.2055,0.7945,0.573535361991266,0.426464638008734,0.596075726220587,0.403924273779413,0.0621588851271852,0.0621588851271852,0.066197522276152,0.066197522276152,0.451703947141983,0.304633223159451,0.466328582559329,0.274177130118155,0.695366776840549,0.548296052858017,0.725822869881845,0.533671417440671,0.484,0.516
"10",9,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.252700596366234,0.747299403633766,0.266408322859936,0.733591677140064,0.044483557787889,0.044483557787889,0.0629041341328269,0.0629041341328269,0.165512823101972,0.660111630369503,0.143116219959595,0.610299574239723,0.339888369630497,0.834487176898028,0.389700425760277,0.856883780040405,0.2055,0.7945,0.586442506518026,0.413557493481974,0.579667644183773,0.420332355816227,0.0588445238906398,0.0588445238906398,0.0784497142511774,0.0784497142511774,0.471107239692372,0.29822222665632,0.425906204251466,0.266570915883919,0.70177777334368,0.528892760307628,0.733429084116081,0.574093795748535,0.484,0.516
