"","sampleNo","pop","testatus_i_rdsIest","testatus_s_rdsIest","testatus_i_rdsIIest","testatus_s_rdsIIest","testatus_i_rdsIse","testatus_s_rdsIse","testatus_i_rdsIIse","testatus_s_rdsIIse","testatus_i_rdsI95low","testatus_s_rdsI95low","testatus_i_rdsII95low","testatus_s_rdsII95low","testatus_i_rdsI95high","testatus_s_rdsI95high","testatus_i_rdsII95high","testatus_s_rdsII95high","testatus_i_true","testatus_s_true","blk_0_rdsIest","blk_1_rdsIest","blk_0_rdsIIest","blk_1_rdsIIest","blk_0_rdsIse","blk_1_rdsIse","blk_0_rdsIIse","blk_1_rdsIIse","blk_0_rdsI95low","blk_1_rdsI95low","blk_0_rdsII95low","blk_1_rdsII95low","blk_0_rdsI95high","blk_1_rdsI95high","blk_0_rdsII95high","blk_1_rdsII95high","blk_0_true","blk_1_true"
"1",0,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.17174157782353,0.828258422176469,0.170326827519082,0.829673172480918,0.0302559758684333,0.0302559758684333,0.0988890845654645,0.0988890845654645,0.112439865121401,0.76895670947434,-0.0234957782292283,0.635850566732608,0.23104329052566,0.887560134878599,0.364149433267392,1.02349577822923,0.204,0.796,0.495408747559827,0.504591252440173,0.46574885166402,0.53425114833598,0.0422200990905974,0.0422200990905974,0.0912137705710605,0.0912137705710605,0.412657353342256,0.421839858222602,0.286969861344741,0.355472158016702,0.578160141777398,0.587342646657744,0.644527841983299,0.713030138655259,0.495,0.505
"2",1,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.217761354778278,0.782238645221722,0.207091327112814,0.792908672887185,0.0339749442946667,0.0339749442946667,0.0739174121201761,0.0739174121201761,0.151170463960732,0.715647754404175,0.0622131993572693,0.64803054513164,0.284352245595825,0.848829536039268,0.35196945486836,0.937786800642731,0.204,0.796,0.48072419732978,0.51927580267022,0.515918936501976,0.484081063498025,0.0430663150986571,0.0430663150986571,0.0766986620776943,0.0766986620776943,0.396314219736412,0.434865825076852,0.365589558829695,0.333751685825744,0.565134174923148,0.603685780263588,0.666248314174256,0.634410441170305,0.495,0.505
"3",2,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.200077695554487,0.799922304445513,0.189281748339284,0.810718251660716,0.0308884340121745,0.0308884340121746,0.0423060525322626,0.0423060525322626,0.139536364890625,0.73938097378165,0.106361885376049,0.727798388697481,0.260619026218349,0.860463635109375,0.272201611302519,0.89363811462395,0.204,0.796,0.559786897662343,0.440213102337657,0.547009534057581,0.452990465942419,0.0410463522400058,0.0410463522400058,0.0592382769431506,0.0592382769431506,0.479336047271932,0.359762251947245,0.430902511249006,0.336883443133844,0.640237748052755,0.520663952728068,0.663116556866156,0.569097488750994,0.495,0.505
"4",3,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.192240051387713,0.807759948612288,0.199437841173522,0.800562158826478,0.0277523460290519,0.0277523460290519,0.0331805857947539,0.0331805857947539,0.137845453170771,0.753365350395346,0.134403893015805,0.73552821066876,0.246634649604654,0.862154546829229,0.26447178933124,0.865596106984195,0.204,0.796,0.451862051795479,0.548137948204521,0.455735575155943,0.544264424844057,0.0410787045610046,0.0410787045610046,0.0690404020446468,0.0690404020446468,0.37134779085591,0.467623687264952,0.320416387148435,0.40894523683655,0.532376312735048,0.62865220914409,0.59105476316345,0.679583612851565,0.495,0.505
"5",4,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.179144116066342,0.820855883933658,0.168592523434853,0.831407476565147,0.032803603241437,0.032803603241437,0.0334104998455963,0.0334104998455963,0.114849053713125,0.756560821580442,0.103107943737484,0.765922896867778,0.243439178419558,0.885150946286875,0.234077103132222,0.896892056262516,0.204,0.796,0.543850806218007,0.456149193781993,0.538317750254113,0.461682249745887,0.0414816587511376,0.0414816587511376,0.0765052070338585,0.0765052070338585,0.462546755065777,0.374845142629763,0.38836754446775,0.311732043959524,0.625154857370236,0.537453244934223,0.688267956040476,0.61163245553225,0.495,0.505
"6",5,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.213817405444631,0.786182594555369,0.228347105813027,0.771652894186973,0.0321636098450119,0.0321636098450119,0.051517802106845,0.051517802106845,0.150776730148407,0.723141919259146,0.127372213683611,0.670678002057557,0.276858080740854,0.849223269851593,0.329321997942443,0.872627786316389,0.204,0.796,0.517112566544827,0.482887433455173,0.507959047653949,0.492040952346051,0.0454548629810739,0.0454548629810739,0.0757337308008426,0.0757337308008426,0.428021035101922,0.393795902012268,0.359520935284298,0.3436028399764,0.606204097987732,0.571978964898078,0.6563971600236,0.640479064715702,0.495,0.505
"7",6,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.226500669906348,0.773499330093651,0.227366134778234,0.772633865221766,0.0336528336144185,0.0336528336144185,0.0531538023172068,0.0531538023172068,0.160541116022088,0.707539776209391,0.123184682236508,0.668452412680041,0.292460223790609,0.839458883977912,0.331547587319959,0.876815317763492,0.204,0.796,0.417150791110049,0.582849208889951,0.419509873434375,0.580490126565625,0.0411756890747104,0.0411756890747104,0.0611862305304239,0.0611862305304239,0.336446440523616,0.502144858303519,0.299584861594744,0.460565114725994,0.497855141696481,0.663553559476384,0.539434885274006,0.700415138405256,0.495,0.505
"8",7,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.229276326187436,0.770723673812564,0.229203695926081,0.770796304073919,0.0322288428433906,0.0322288428433906,0.050989108483232,0.050989108483232,0.16610779421439,0.707555141839519,0.129265043298947,0.670857651446784,0.292444858160482,0.83389220578561,0.329142348553216,0.870734956701053,0.204,0.796,0.561852856228717,0.438147143771283,0.543755564888702,0.456244435111298,0.0418199138161818,0.0418199138161818,0.0830171177169178,0.0830171177169178,0.479885825149001,0.356180112691566,0.381042014163543,0.293530884386139,0.643819887308434,0.520114174850999,0.706469115613861,0.618957985836457,0.495,0.505
"9",8,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.187436457685392,0.812563542314608,0.186425779717151,0.813574220282849,0.0287173795727779,0.028717379572778,0.0405706769150855,0.0405706769150855,0.131150393722747,0.756277478351963,0.106907252963584,0.734055693529281,0.243722521648037,0.868849606277253,0.265944306470719,0.893092747036416,0.204,0.796,0.527265139097478,0.472734860902522,0.547007138360008,0.452992861639992,0.0418778831189659,0.0418778831189659,0.0688991611414377,0.0688991611414377,0.445184488184305,0.390654209989349,0.41196478252279,0.317950505802774,0.609345790010651,0.554815511815695,0.682049494197226,0.588035217477209,0.495,0.505
"10",9,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.259614887656065,0.740385112343935,0.246258441952274,0.753741558047726,0.040492812998235,0.040492812998235,0.0522088122728979,0.0522088122728979,0.180248974179524,0.661019198867394,0.143929169897394,0.651412285992846,0.338980801132606,0.819751025820476,0.348587714007154,0.856070830102606,0.204,0.796,0.536619692554721,0.46338030744528,0.5389438192512,0.4610561807488,0.0430050741005149,0.0430050741005149,0.0575657692091809,0.0575657692091809,0.452329747317711,0.37909036220827,0.426114911601205,0.348227273098805,0.62090963779173,0.547670252682289,0.651772726901194,0.573885088398795,0.495,0.505
