id,degree,blk,testatus
1,6,1,s
2,2,0,s
3,6,1,s
4,3,1,s
5,2,0,s
6,5,1,s
7,5,1,s
8,2,0,s
9,5,1,s
10,4,1,s
11,3,1,s
12,5,0,s
13,1,1,s
14,10,0,i
15,7,0,s
16,1,0,s
17,4,0,s
18,4,0,i
19,6,0,s
20,8,0,i
21,8,1,s
22,6,0,s
23,6,1,s
24,8,0,i
25,5,0,s
26,6,0,s
27,4,1,i
28,6,1,s
29,5,1,s
30,3,1,s
31,3,0,s
32,3,0,i
33,7,0,s
34,5,1,s
35,4,0,s
36,6,1,s
37,6,1,s
38,5,0,i
39,1,0,s
40,1,1,s
41,1,0,s
42,8,0,s
43,5,1,s
44,3,0,s
45,5,0,i
46,6,1,s
47,3,0,s
48,3,0,s
49,3,0,s
50,5,0,i
51,1,1,i
52,8,0,s
53,7,0,s
54,3,0,s
55,6,1,i
56,7,0,i
57,3,0,s
58,6,0,s
59,1,1,s
60,7,1,s
61,4,0,s
62,3,0,s
63,7,1,i
64,6,1,i
65,2,0,s
66,4,0,s
67,2,0,i
68,3,1,s
69,4,1,i
70,4,0,s
71,8,1,s
72,8,1,s
73,7,0,i
74,5,1,s
75,6,1,s
76,8,1,s
77,4,0,s
78,4,0,s
79,3,0,s
80,3,1,i
81,1,1,s
82,6,0,s
83,6,1,s
84,6,0,i
85,4,0,s
86,4,0,s
87,3,0,s
88,2,0,s
89,5,0,s
90,4,1,i
91,4,1,i
92,2,0,s
93,5,0,s
94,6,0,s
95,5,0,i
96,3,1,s
97,3,0,s
98,1,0,s
99,1,0,i
100,5,0,s
101,5,0,s
102,3,1,s
103,6,0,s
104,5,1,i
105,3,1,s
106,7,1,s
107,3,1,s
108,6,1,s
109,7,1,i
110,6,1,s
111,5,0,s
112,2,1,s
113,2,0,s
114,3,1,s
115,4,1,s
116,9,0,s
117,3,0,s
118,4,1,s
119,4,1,s
120,5,0,s
121,4,0,s
122,8,1,i
123,6,1,s
124,8,0,i
125,2,0,s
126,2,1,s
127,6,1,s
128,4,0,s
129,1,1,s
130,5,0,s
131,4,1,s
132,6,1,s
133,6,0,i
134,6,1,s
135,5,0,s
136,3,0,s
137,4,1,i
138,5,0,s
139,2,1,s
140,8,0,s
141,5,1,i
142,7,1,s
143,8,1,s
144,7,1,s
145,4,1,s
146,5,0,s
147,6,1,s
148,6,1,s
149,4,0,s
150,6,0,s
151,7,1,s
152,8,0,s
153,5,0,i
154,2,0,s
155,3,0,s
156,5,0,s
157,5,1,s
158,6,1,s
159,6,0,i
160,2,0,s
161,6,1,s
162,4,0,s
163,4,1,s
164,3,1,i
165,3,0,i
166,6,1,s
167,4,0,s
168,8,0,s
169,4,0,s
170,2,1,s
171,4,1,s
172,7,0,i
173,6,0,s
174,6,0,s
175,7,1,s
176,5,1,s
177,10,0,s
178,5,0,s
179,8,1,s
180,5,1,s
181,7,1,s
182,4,0,s
183,4,1,s
184,6,0,s
185,4,0,s
186,2,1,i
187,5,0,s
188,5,1,s
189,7,1,i
190,4,1,s
191,5,1,s
192,2,0,s
193,3,1,s
194,6,0,s
195,7,0,s
196,5,0,s
197,6,1,s
198,6,0,s
199,3,0,s
200,3,1,i
201,3,1,i
202,5,0,i
203,6,0,s
204,4,0,s
205,3,0,s
206,5,1,s
207,3,1,s
208,5,1,s
209,5,1,s
210,7,0,i
211,8,0,i
212,1,1,s
213,2,0,i
214,3,0,s
215,7,0,s
216,5,0,s
217,5,0,s
218,1,0,s
219,4,1,s
220,3,0,s
221,4,1,s
222,4,1,s
223,4,0,s
224,2,0,s
225,5,1,s
226,5,0,s
227,3,1,s
228,3,1,s
229,4,0,i
230,10,1,s
231,8,1,s
232,8,1,i
233,6,1,i
234,3,1,s
235,2,1,s
236,4,0,s
237,5,0,i
238,4,0,i
239,3,0,s
240,5,0,s
241,4,1,s
242,4,0,s
243,4,1,s
244,5,1,s
245,2,0,s
246,0,0,s
247,7,0,i
248,4,1,s
249,2,1,i
250,7,0,s
251,5,1,i
252,5,1,s
253,4,0,s
254,3,0,s
255,11,0,i
256,6,0,s
257,7,1,i
258,5,1,s
259,5,0,i
260,6,0,i
261,4,0,s
262,4,0,i
263,3,0,s
264,3,1,i
265,3,0,s
266,7,0,s
267,4,1,i
268,6,1,i
269,7,0,s
270,3,1,s
271,4,1,s
272,6,1,s
273,2,0,s
274,8,0,s
275,3,0,i
276,2,0,s
277,4,0,s
278,0,0,s
279,5,1,i
280,7,1,s
281,4,1,s
282,11,1,s
283,6,1,s
284,3,1,s
285,4,0,s
286,5,1,i
287,6,1,s
288,2,0,s
289,4,1,s
290,4,0,s
291,1,1,s
292,3,1,s
293,4,1,s
294,3,0,s
295,6,0,s
296,7,0,s
297,6,1,s
298,9,0,s
299,6,1,s
300,5,0,s
301,3,1,i
302,8,1,i
303,5,1,s
304,7,1,s
305,5,1,s
306,5,1,s
307,9,0,s
308,4,1,i
309,5,1,s
310,6,0,s
311,7,0,s
312,7,0,s
313,4,1,s
314,3,1,s
315,3,0,s
316,3,1,s
317,4,1,s
318,7,0,i
319,1,0,s
320,7,1,i
321,6,0,i
322,4,1,s
323,1,1,s
324,10,1,i
325,13,1,s
326,4,1,i
327,6,1,s
328,3,1,i
329,7,0,s
330,4,0,s
331,1,1,s
332,3,0,i
333,2,1,s
334,5,0,i
335,5,1,s
336,5,0,s
337,6,0,s
338,1,1,i
339,1,1,s
340,5,0,s
341,6,0,s
342,3,0,s
343,6,0,s
344,5,1,i
345,3,0,s
346,1,0,s
347,2,0,s
348,3,1,s
349,1,0,s
350,1,1,s
351,2,1,i
352,6,1,i
353,3,0,s
354,7,0,i
355,2,1,s
356,3,1,s
357,4,0,s
358,5,0,s
359,5,0,s
360,6,0,s
361,1,1,s
362,4,1,s
363,5,0,s
364,4,0,s
365,6,1,s
366,11,1,s
367,5,1,s
368,2,1,s
369,4,0,s
370,3,1,s
371,7,1,s
372,5,1,i
373,5,0,s
374,3,1,s
375,4,1,i
376,9,1,s
377,3,0,s
378,5,0,s
379,1,0,s
380,7,1,s
381,2,1,s
382,6,0,s
383,1,1,s
384,4,1,s
385,7,0,s
386,4,1,s
387,11,0,s
388,2,0,s
389,4,1,s
390,4,0,s
391,5,0,i
392,4,0,s
393,6,1,s
394,5,0,s
395,6,1,s
396,5,1,s
397,6,1,i
398,6,0,i
399,5,0,s
400,1,0,s
401,6,0,s
402,4,0,s
403,5,1,s
404,5,1,i
405,8,1,i
406,5,1,s
407,6,1,i
408,4,0,s
409,6,1,s
410,3,1,s
411,5,1,s
412,1,1,s
413,4,1,s
414,4,1,s
415,2,0,i
416,4,1,i
417,8,0,s
418,4,1,i
419,4,0,s
420,8,1,i
421,3,0,s
422,4,1,s
423,4,0,s
424,5,0,s
425,7,0,s
426,5,1,s
427,7,0,s
428,4,0,s
